asn,hege
1,1.0208333333333333
2,1.0
3,1.0
4,1.0
5,1.315384615384615
6,1.0683760683760684
7,1.0
8,1.0
9,1.0
10,1.333333333333333
12,3.0
13,1.0
14,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
24,1.0
25,1.0
26,1.0
27,1.0
29,1.0
30,0.0854700854700855
31,1.0
32,1.0
33,2.380898876404494
34,1.918068136783059
35,2.0
37,1.0
38,1.0
42,5.253030317493116
43,1.0
44,1.0
45,1.0
46,1.003875968992248
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
55,1.213675213675214
56,1.0
57,7.56822849677234
59,1.0
62,59.047714833817146
63,1.0
65,1.0
68,1.0
70,1.95346628679962
71,5.261659921191974
72,1.0
73,1.0
74,1.0
77,1.0
81,26.758585075553494
83,1.0
84,1.0
85,1.0
87,1.0
88,1.0
89,1.0
91,1.0
92,1.0
93,1.0
97,1.0
98,1.0
100,1.0018390401982376
101,28.782495888150688
102,1.0
103,1.0202430885301255
104,1.0
106,1.0
109,1.0
111,1.0
112,1.0
116,1.0
118,1.0
121,1.0
122,1.0
125,1.0
127,1.0
131,1.0
132,1.0
137,8.281320816448536
138,1.0
140,1.0
147,1.0
149,1.0
151,1.0
153,1.0
156,1.032051282051282
157,1.0
158,1.0
159,1.0
160,1.0
161,1.170940170940171
166,1.0
167,1.0
170,1.0
173,2.0
174,8112.909363752723
186,1.0
187,1.0
188,1.0
190,1.0
194,1.0
195,4.911078351475723
196,1.0
200,1.0018390401982376
202,51.99535122018228
203,1.0
205,1.0
206,1.962524654832347
209,831.542569189151
210,4.374506903353057
213,1.0
217,1.0
220,1.0
223,1.0
224,5.859615384615385
225,1.0
226,17.16833894433938
228,1.0
229,1.0
231,1.0
237,21.880341880341877
239,1.0
243,1.0
246,1.0
250,1.0
252,1.0
257,1.0
260,3.0034823175330314
262,1.0
264,1.0
267,1.0
268,1.0
270,6.0
271,16.23076923076923
272,1.0
273,1.0
275,1.0
278,1.0
283,1.0
286,0.0653846153846154
288,1.0
289,1.0
291,1.0
292,1.0
293,28.235961083504723
295,1.0
297,10.576923076923077
299,1.0
300,1.0018390401982376
302,8.564541908027792
306,52.93775489733113
307,1.0
308,1.0
309,1.0
310,2.75
311,1.0
312,1.0
313,1.0
316,1.0
317,1.0
319,1.0
320,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,1.0
326,1.0
327,1.0
328,1.0
329,1.0
331,1.0
334,1.0
335,1.0
336,1.0
337,1.0
338,1.0
339,1.0
340,1.0
341,1.0
342,1.0
343,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,1.0084269662921348
349,1.0
350,1.0
351,1.0
352,1.0
353,1.0
355,1.0
356,1.0
357,1.0
358,1.0
359,1.0
360,1.0
361,1.0
362,1.0
364,1.0
365,1.0
366,1.0
367,137.8496597583697
368,1.0
369,1.0
370,1.0
371,1.0
372,1.0
375,1.0
376,15.217138103161398
377,1.0
378,1.5
381,1.0
383,2.0
385,2.0
386,1.0
399,1.0
400,0.00183904019823747
409,1.0
427,1.0
441,1.0
450,1.0
452,1.0
456,1.0
490,1.0
492,1.0
494,1.0
500,1.0018390401982376
510,1.0
511,1.0
513,2.3883863127594185
514,1.0
518,1.0
523,1.0
531,16.166666666666668
542,1.0
543,1.0
545,1.0
546,1.0
547,1.0
549,16.264921243082163
553,16.67960147079147
555,1.006105006105006
557,3.7590263691683568
559,4.774114774114773
565,1.0
567,0.000929368029739777
571,1.0
572,1.0
575,53.93754674829642
577,179.04304744475766
580,1.0
589,1.0
596,1.0
600,44.80965981490472
603,3.1396011396011403
606,1.0
607,1.0
609,1.0
611,1.0
615,1.0
616,1.0
619,1.0
627,1.0
637,1.0
647,1.0
656,1.0
664,1.0
665,1.0
668,22.213675213675213
670,1.0
671,1.0
672,1.0
675,1.0
676,1.0
679,1.0
680,17.14529447608672
681,1.0
683,1.0
687,1.0
688,1.0
693,1.0
698,1.0
701,589.9248351283321
702,74.18479593489269
703,23.71736653023401
705,1.0
706,1.0077821011673151
714,1.991671416357937
715,2.0626925877301456
719,35.913136705882216
721,273.3980694830482
722,1.0
724,1.000313823944767
744,1.0
745,7.0
747,1.0
748,1.0
749,1.0
760,1.307692307692308
764,1.0
766,16.960647554074278
773,1.0
775,1.0
776,1.0
777,1.0
781,2.5
782,1.0
784,1.0
786,29.330594353809985
789,1.0
792,1.0
793,1.0
797,1.380952380952381
800,1.0
802,1.0
803,15.939705181509371
806,1.0
808,1.0
812,69.81507168202702
813,1.0
818,1.0
819,6.850809804117198
820,1.0
822,1.0
823,1.0
837,1.0
841,1.0
852,89.1474771516663
855,19.314787507124706
940,1.0
1013,1.0
1101,1.438746438746438
1102,1.0
1103,16.879925656652986
1104,1.0
1109,1.0
1110,1.0
1111,1.0
1112,1.0
1113,1.0
1114,1.0
1115,1.179487179487179
1117,1.0
1120,0.4444444444444446
1124,1.0
1125,1.0
1126,1.0
1128,1.0
1132,0.0427350427350427
1133,1.0
1136,26.381434273571287
1140,1.25
1145,1.0
1146,0.333333333333333
1147,1.0
1149,0.358974358974359
1161,1.0
1197,1.0
1199,1.0
1200,1.0
1201,1.0
1204,1.0
1205,1.0
1206,1.0
1207,1.0
1208,1.0
1213,2.72008547008547
1215,1.0
1216,1.0
1217,1.0
1218,1.0
1219,1.0
1221,156.77555608729057
1222,1.0
1224,1.0
1225,1.0
1226,3.653431186798327
1234,1.0
1236,1.0
1237,17.767489383567188
1239,172.37458064150331
1241,33.98759539072039
1246,1.0
1248,2.0
1249,2.0
1251,5.98370017087373
1252,1.0
1256,2.0
1257,106.3144167813476
1258,1.0
1261,1.0
1265,1.0
1267,53.052288995656895
1270,2.0
1273,464.57416319000123
1277,3.0
1280,2.5555555555555562
1286,1.0
1287,1.0
1289,1.0
1290,1.0
1293,1.0
1294,1.287089319923372
1299,5347.75928737472
1301,1.0
1303,1.0
1307,1.0
1311,1.0
1312,1.0
1313,1.0
1315,1.0
1321,13.812745728431477
1323,1.0
1325,1.0
1326,1.0
1339,3.181818181818182
1341,1.0
1342,1.0
1347,1.0
1348,1.0
1350,1.0
1351,1.0
1355,1.0
1358,1.0
1360,1.0
1378,1.0
1379,1.0
1380,1.0
1383,2.0
1387,0.181818181818182
1399,1.0
1401,1.0
1403,1.8888888888888888
1406,1.0
1407,1.0
1408,1.0
1410,1.75
1411,1.0
1412,1.0
1414,1.0
1415,1.0
1416,1.0
1419,1.0
1420,1.0
1421,2.923076923076923
1422,1.0
1423,1.0
1426,1.0
1427,1.0
1428,1.0
1430,1.0
1432,1.0
1435,1.0
1436,1.0
1437,1.0
1438,1.0
1439,1.0
1440,1.0
1441,1.0
1442,1.0
1443,1.0
1444,1.0
1445,1.0
1446,1.0
1447,1.0
1448,1.0
1449,1.0
1451,1.0
1452,1.0
1457,1.0
1458,1.0
1460,1.0
1461,1.0
1462,1.0
1463,1.0
1464,1.0
1466,1.0
1467,1.0
1468,1.0
1471,1.0
1472,1.0
1474,1.0
1475,1.0
1476,1.0
1477,1.0
1479,1.0
1480,1.0
1482,1.0
1483,1.0
1484,1.0
1488,1.0
1489,1.0
1491,1.0
1493,1.0
1498,1.0
1500,1.0
1501,1.166666666666667
1502,1.0
1503,1.0
1505,1.0
1506,1.0
1508,1.0
1509,1.0
1510,1.0
1515,1.0
1516,1.0
1519,1.0
1524,1.0
1525,1.0
1526,1.0
1527,1.0
1528,1.0
1530,1.0
1531,1.0
1533,1.0
1535,1.0
1537,1.0
1539,3.0
1541,48.0
1544,1.0
1547,6.0
1551,1.0
1553,1.0
1554,17.16181229773463
1555,2.166666666666667
1556,1.0
1559,1.0
1562,1.0
1563,1.0
1565,1.0
1566,1.0
1567,1.0
1568,1.0
1569,1.0
1580,1.0
1585,1.0
1586,1.0
1590,1.0
1598,1.0
1599,1.0
1600,1.0
1602,1.0
1603,1.0
1604,1.0
1605,1.0
1606,1.0
1609,1.0
1610,1.0
1611,1.0
1612,2.0
1614,1.0
1615,1.0
1616,1.0
1617,1.0
1618,1.0
1620,1.0
1621,1.0
1622,1.0
1624,1.0
1625,1.0
1627,1.0
1628,0.179487179487179
1631,1.0
1632,1.0
1633,1.0
1634,1.0
1635,1.0
1636,1.0
1637,1.0
1638,1.0
1640,1.0
1641,1.0
1642,1.0
1643,1.0
1645,1.0
1646,1.0
1647,1.0
1648,1.0
1649,1.0
1650,0.666666666666667
1651,1.0
1652,1.0
1653,22.723579876298704
1654,1.0
1657,1.0
1659,1.0
1661,1.0
1663,1.0
1672,1.0
1676,1.0
1678,1.526315789473684
1680,92.66372016422653
1689,1.0
1696,1.111111111111111
1699,1.0
1700,1.0
1701,1.0
1702,1.0
1704,1.0
1705,1.0
1706,1.0
1710,1.0
1712,1.0
1715,1.0
1724,1.0
1729,1.0
1730,1.0
1733,12.69106254532053
1734,1.0
1736,1.0
1738,1.0
1739,1.0
1741,7.786324786324786
1742,4.998699609882965
1746,1.0
1747,1.0
1751,1.0
1754,1.0
1756,1.0
1757,1.0
1759,36.93632868350411
1761,1.0
1764,171.84635452814123
1766,1.0
1767,15.791452991452992
1770,1.0
1771,2.0
1772,1.0
1776,1.0
1777,1.0
1780,1.0
1781,1.0
1782,1.0
1785,3.8179634541703495
1789,1.0
1790,1.0
1796,1.0
1797,1.0
1798,1.0
1809,1.0
1818,2.0
1819,1.0
1820,74.39824828285619
1821,1.0
1823,1.0
1824,1.0
1825,1.0
1826,1.0
1827,1.0
1828,102.46484044967738
1830,1.0
1831,1.0
1832,1.0
1835,5.9230769230769225
1836,16.542212313744102
1837,1.0
1840,1.0
1842,1.0025491078122657
1843,1.0
1848,1.0
1850,1.0
1851,1.0
1852,1.0
1853,34.33590240159735
1855,1.0
1874,1.053370786516854
1878,1.0
1880,3.0
1881,1.0
1886,1.333333333333333
1887,16.262820512820518
1888,1.0
1897,1.0
1898,1.0
1901,1.0
1902,1.0
1904,1.0
1906,1.0
1907,1.0
1908,1.0
1909,1.0
1911,1.0
1913,2.0
1916,57.881302198741245
1921,1.260683760683761
1929,1.0
1930,5.306732406588728
1931,1.0351654846335698
1932,1.0
1935,1.0
1936,1.0
1938,1.0
1942,1.0
1945,2.0
1955,9.0
1956,1.0
1959,1.0
1965,1.0
1967,1.0
1968,7.9998941126641245
1970,5.0
1974,1.0
1975,1.0
1982,2.0
1983,1.0
1996,1.0
1998,3.152650324707717
1999,1.0
2002,1.0
2003,1.0
2011,1.0
2012,1.0
2013,1.0
2015,1.0
2018,5.0
2020,1.0
2021,1.0
2024,1.0
2025,1.0
2030,1.0
2031,1.0
2033,1.0
2036,1.0
2037,1.0
2041,1.0
2042,1.0
2044,2.734844160643034
2046,1.0
2047,1.0
2048,1.0
2055,1.0
2060,1.0
2065,1.0
2067,2.0
2072,2.938712284482759
2088,1.0
2089,1.0
2094,1.0
2096,1.0
2103,1.0
2107,5.0
2108,1.0683760683760684
2110,9.826995528495768
2111,1.0
2114,1.0
2115,1.0
2116,54.499415617726065
2118,2.2991452991452994
2119,95.17377175364666
2121,1.0
2128,1.0
2129,1.0
2134,2.0
2140,1.223374522869897
2143,1.0
2147,1.0
2148,1.0
2149,1.0
2152,76.59112264054647
2158,1.0
2159,2.96551724137931
2161,1.0289855072463767
2162,1.0
2164,1.0
2165,1.146067415730337
2166,1.0
2173,1.0
2187,1.0
2198,1.0
2199,1.0
2200,38.221293964518324
2202,1.0
2259,1.0
2263,1.0
2269,1.0
2274,1.0
2278,1.0
2280,1.666666666666667
2281,1.333333333333333
2285,1.0
2300,1.0
2379,1.0
2381,79.8010505528031
2384,1.0
2385,1.0
2386,1.8686496620236175
2418,1.0
2426,1.0
2439,1.0
2445,1.0
2450,1.0
2462,1.0
2470,1.0
2471,1.0
2472,1.0
2484,1.0
2485,1.0
2486,1.0512820512820513
2488,1.0
2494,1.0
2495,10.188568376068377
2496,1.0
2497,158.3168165261816
2500,4.6660680434999495
2501,1.0
2504,1.0
2505,1.0
2506,1.0
2508,1.0
2510,2.979166666666667
2511,1.0
2512,1.0
2513,1.0
2514,3.587611443435173
2515,1.0
2516,88.50384092683865
2518,16.15461276349321
2519,31.379134586504325
2522,1.0
2523,1.0
2526,1.0
2527,3.416519866901546
2532,1.0
2534,1.0
2535,1.0
2539,1.0
2544,3.8675213675213675
2546,1.0
2547,1.0
2549,1.0
2552,1.0
2553,1.0
2554,1.0
2559,2.0
2560,1.0
2561,1.666666666666667
2562,1.0
2563,1.0
2567,1.0
2568,1.0
2570,1.0
2571,1.0
2572,5.958352272425479
2575,1.0
2576,1.0
2577,1.0
2578,1.0
2579,1.0
2585,1.0
2586,15.463950247283583
2587,1.0
2588,35.48033270404186
2589,1.0
2590,1.0
2591,1.0
2592,1.0
2593,1.0
2594,1.170940170940171
2595,1.0
2597,1.333333333333333
2598,1.0
2600,1.0
2601,1.0
2602,1.0
2603,113.26068856030868
2606,1.0
2607,1.972732693662926
2609,11.200385343456528
2611,9.37962962962963
2612,1.0
2613,1.153846153846154
2614,15.161797400674825
2615,1.0
2621,1.0
2629,0.000383484596702032
2631,1.0
2634,0.0740740740740741
2635,1.0
2636,1.0
2637,1.0
2639,1.0
2640,1.0
2641,1.0
2642,1.0
2643,1.0
2646,1.0
2647,4.232656918697771
2648,1.0
2650,1.0
2653,2.708656664425726
2665,5.7503233310923925
2669,0.00284900284900285
2675,6.7503233310923925
2680,1.0
2681,3.008793429606078
2682,3.25
2683,3.970940170940171
2685,3.2245835081708947
2686,52.30882163849133
2687,25.27574669974284
2688,2.8037447351724536
2695,1.0
2697,1.0
2698,1.122469474793289
2701,1.0
2703,1.0
2705,1.0
2706,1.0
2707,1.5
2708,1.0
2711,41.01850355281593
2714,1.0
2715,3.643629807692308
2716,9.389489850427353
2721,4.736737015212952
2722,3.0960148543715964
2723,1.0
2726,1.0
2727,1.0
2728,1.0
2730,2.199430199430199
2731,1.4456159740642496
2732,1.0
2733,1.0
2734,6.472928279450019
2735,1.0
2738,1.0
2740,1.0
2749,1.0
2756,1.0
2764,65.26585985979582
2767,0.130690082048534
2768,1.0
2769,1.0
2773,1.0
2792,1.0
2799,1.0
2818,2.0
2821,1.0
2822,1.0
2823,1.0
2824,1.0
2827,1.0
2828,150.1812563322635
2830,2.6172306566672763
2831,1.0
2833,1.0
2837,1.0
2838,1.0
2839,3.0
2840,1.0
2841,1.0
2842,1.0
2843,1.0
2846,1.0
2847,1.804151404151404
2848,2.632478632478632
2850,1.0
2852,11.853227232537577
2854,74.22607451300723
2856,78.25252376782517
2857,3.0
2860,23.947099994513792
2861,1.0
2863,1.0
2864,1.0
2865,1.0
2872,1.0
2874,0.8962865142364818
2875,1.0
2877,1.0
2882,3.666666666666667
2886,1.0
2894,1.0
2895,2.5042735042735043
2897,1.0
2900,1.0
2901,1.0
2902,1.0
2903,1.0
2904,1.0
2906,2.0
2907,73.91771146995472
2912,1.0
2914,1967.4816161608983
2920,2.0
2923,1.0
2924,1.0
2928,1.0
2933,1.0
2936,1.0
2939,1.0
2941,1.0
3043,0.222222222222222
3058,1.0
3061,1.0
3064,2.01025641025641
3066,1.0
3067,1.0
3073,1.0
3081,1.5
3083,1.0
3084,1.0
3087,1.0
3095,1.0
3096,1.0
3097,1.0
3104,1.0
3107,1.0
3108,1.0
3112,2.142857142857143
3128,5.277777777777778
3130,2.0256410256410255
3131,1.0
3132,5.335470085470085
3134,1.0
3136,1.0
3140,1.0
3141,1.0
3145,1.0
3147,1.0
3152,1.0
3161,1.0
3163,1.0
3164,2.0
3165,1.0
3166,1.0
3167,1.0
3168,1.0
3169,3.0
3170,6.481558687283879
3173,1.0
3175,8.96063193647149
3176,1.0
3177,1.0
3178,1.0
3179,1.0
3180,1.0
3181,1.0
3185,1.0
3187,1.0
3188,1.0
3190,1.0
3191,1.0
3194,1.0
3200,1.0
3201,1.0
3202,1.0
3203,1.0
3204,0.0227920227920228
3206,1.0
3208,2.0
3209,41.72506470062359
3210,1.0
3212,55.54718253547335
3213,4.251554001554002
3214,2.027819674878499
3215,61.086503258930456
3216,650.789960928802
3217,1.0
3218,3.1994301994301995
3219,1.0
3221,4.515669515669516
3222,1.0
3223,123.80509963513464
3225,9.071954122308213
3226,2.874643874643874
3227,1.0
3229,1.0
3233,1.0
3235,1.0
3238,2.102564102564103
3239,2.3076923076923075
3240,1.0
3241,1.0
3242,2.0
3243,7.880608974358974
3244,1.0
3245,2.150934829059829
3246,29.391477248163845
3247,1.0
3249,31.142541843221192
3250,1.0
3252,2.4335020184158114
3253,4.807692307692307
3254,3.0
3255,162.71444345943496
3257,2076.3500209890753
3259,1.0
3260,1.0
3261,3.144359344359344
3262,17.6818654400955
3264,1.0
3265,6.760853993782626
3266,1.0
3267,59.88066373938672
3268,1.168803418803419
3269,74.40357544790658
3271,1.0
3272,1.0
3273,1.0
3274,1.0
3275,1.153846153846154
3276,1.0
3278,1.0
3279,1.0
3280,2.0
3281,1.0
3284,1.0
3285,1.0
3287,1.0
3288,1.0
3289,1.0
3290,1.0
3291,1.0
3292,66.58909433359956
3295,1.0
3296,1.0
3297,1.0
3298,1.0
3299,1.0
3300,4.562725293404571
3301,66.87049483527592
3302,22.630934431081673
3303,134.30181020545143
3304,1.0
3306,1.0
3307,0.348717948717949
3308,13.274512282589205
3311,1.0
3312,2.0
3313,2.8465928805613974
3314,1.0
3316,3.9746211185921974
3319,1.0
3320,283.0577825344775
3323,1.0
3324,1.0
3325,1.0
3326,352.0460440521418
3327,30.35525935139098
3329,16.49108818011257
3330,7.626927946347824
3331,3.247863247863248
3332,1.0
3333,2.0002275830678196
3334,1.0
3335,1.0
3337,1.0
3339,1.0
3342,1.968376068376068
3343,1.0
3347,1.0
3348,1.0
3351,1.0
3352,70.02434344423799
3354,1.0
3356,12186.220422235858
3359,1.0
3361,5.9066700905596194
3363,1.0
3364,1.0
3365,1.0
3366,1.0
3367,7.189374164347666
3369,1.0
3371,5.42156862745098
3372,2.415032679738562
3373,1.0
3374,1.0
3375,1.0
3376,1.0
3377,1.0
3378,9.0
3379,1.0
3380,1.0
3382,1.0
3384,1.0
3388,1.0
3389,1.0
3390,1.0
3399,23.23507634451009
3401,1.0
3402,2.178194105277439
3408,0.658119658119658
3410,1.0
3411,1.0
3412,1.0
3421,2.1538461538461533
3423,2.5687612873565113
3424,1.0
3425,1.0
3428,1.0
3431,1.0
3443,1.0
3446,1.0
3449,1.0
3450,2.4860674692239684
3452,1.0
3454,1.0
3455,1.0
3456,1.0
3457,1.0
3458,1.0
3459,1.0
3462,26.67874558049393
3464,2.668803418803419
3465,1.0
3470,1.0
3471,1.0
3472,1.0
3474,1.0
3475,1.0
3477,9.998227838348036
3479,1.239316239316239
3480,9.305104129047793
3481,1.0
3482,1.0
3484,1.0
3486,1.0
3488,1.0
3491,713.9651834223392
3495,1.0
3496,1.0
3502,1.0
3503,1.0
3512,1.0
3525,1.0
3527,2.0
3538,3.833333333333333
3541,2.0
3544,2.666666666666667
3548,1.0
3549,872.1894654747455
3550,1.0
3551,1.0
3555,1.0
3557,1.0
3561,58.64718550406322
3562,1.0
3565,1.0
3570,1.0
3571,1.0
3573,1.000215470803706
3576,1.0
3577,1.0
3580,1.216701631701632
3582,1.0
3583,1.0
3584,1.0
3585,1.0
3586,1.0
3592,1.0
3593,1.376068376068376
3595,1.0
3596,1.0
3597,3.127409654257564
3598,2.0
3599,1.6
3601,1.0
3602,1.0
3603,1.0
3605,5.007782101167315
3606,1.0
3608,1.0
3613,1.0
3614,1.0
3620,1.0
3624,1.0
3629,1.0
