"ROUTEVIEWS_COLLECTOR","ASNUMBER","REGION","PREFIXES"
"route-views.amsix.routeviews.org","8821","CH","ripencc"
"route-views.amsix.routeviews.org","1103","NL","ripencc"
"route-views.amsix.routeviews.org","12859","NL","ripencc"
"route-views.amsix.routeviews.org","1140","NL","ripencc"
"route-views.amsix.routeviews.org","1103","NL","ripencc"
"route-views.amsix.routeviews.org","6830","NL","ripencc"
"route-views.amsix.routeviews.org","24875","NL","ripencc"
"route-views.amsix.routeviews.org","6667","FI","ripencc"
"route-views.amsix.routeviews.org","39591","NL","ripencc"
"route-views.amsix.routeviews.org","12414","NL","ripencc"
"route-views.amsix.routeviews.org","16298","NL","ripencc"
"route-views.amsix.routeviews.org","51088","NL","ripencc"
"route-views.amsix.routeviews.org","21478","NL","ripencc"
"route-views.amsix.routeviews.org","12779","IT","ripencc"
"route-views.amsix.routeviews.org","34968","NL","ripencc"
"route-views.amsix.routeviews.org","12414","NL","ripencc"
"route-views.amsix.routeviews.org","2119","NO","ripencc"
"route-views.amsix.routeviews.org","39120","IT","ripencc"
"route-views.amsix.routeviews.org","5394","IT","ripencc"
"route-views.amsix.routeviews.org","34177","FR","ripencc"
"route-views.amsix.routeviews.org","38182","MY","apnic"
"route-views.amsix.routeviews.org","31449","BE","ripencc"
"route-views.amsix.routeviews.org","50763","GB","ripencc"
"route-views.amsix.routeviews.org","8859","DE","ripencc"
"route-views.amsix.routeviews.org","199524","LU","ripencc"
"route-views.amsix.routeviews.org","47957","FR","ripencc"
"route-views.amsix.routeviews.org","6762","IT","ripencc"
"route-views.amsix.routeviews.org","30844","GB","ripencc"
"route-views.amsix.routeviews.org","61955","DE","ripencc"
"route-views.amsix.routeviews.org","714","US","arin"
"route-views.amsix.routeviews.org","31019","NL","ripencc"
"route-views.amsix.routeviews.org","15943","DE","ripencc"
"route-views.amsix.routeviews.org","7713","ID","apnic"
"route-views.amsix.routeviews.org","38880","AU","apnic"
"route-views.amsix.routeviews.org","42541","DK","ripencc"
"route-views.amsix.routeviews.org","58511","AU","apnic"
"route-views.amsix.routeviews.org","62955","US","arin"
"route-views.amsix.routeviews.org","293","US","arin"
"route-views.amsix.routeviews.org","39351","SE","ripencc"
"route-views.amsix.routeviews.org","267613","BR","lacnic"
"route-views.amsix.routeviews.org","213035","NL","ripencc"
"route-views.amsix.routeviews.org","16552","US","arin"
"route-views.amsix.routeviews.org","3214","DE","ripencc"
"route-views.amsix.routeviews.org","293","US","arin"
"route-views.amsix.routeviews.org","714","US","arin"
"route-views.amsix.routeviews.org","1103","NL","ripencc"
"route-views.amsix.routeviews.org","1103","NL","ripencc"
"route-views.amsix.routeviews.org","1140","NL","ripencc"
"route-views.amsix.routeviews.org","2119","NO","ripencc"
"route-views.amsix.routeviews.org","5394","IT","ripencc"
"route-views.amsix.routeviews.org","6667","FI","ripencc"
"route-views.amsix.routeviews.org","6762","IT","ripencc"
"route-views.amsix.routeviews.org","6830","NL","ripencc"
"route-views.amsix.routeviews.org","7713","ID","apnic"
"route-views.amsix.routeviews.org","8821","CH","ripencc"
"route-views.amsix.routeviews.org","12414","NL","ripencc"
"route-views.amsix.routeviews.org","12414","NL","ripencc"
"route-views.amsix.routeviews.org","12779","IT","ripencc"
"route-views.amsix.routeviews.org","12859","NL","ripencc"
"route-views.amsix.routeviews.org","15943","DE","ripencc"
"route-views.amsix.routeviews.org","16298","NL","ripencc"
"route-views.amsix.routeviews.org","16552","US","arin"
"route-views.amsix.routeviews.org","24875","NL","ripencc"
"route-views.amsix.routeviews.org","30844","GB","ripencc"
"route-views.amsix.routeviews.org","34177","FR","ripencc"
"route-views.amsix.routeviews.org","34968","NL","ripencc"
"route-views.amsix.routeviews.org","38182","MY","apnic"
"route-views.amsix.routeviews.org","38880","AU","apnic"
"route-views.amsix.routeviews.org","39120","IT","ripencc"
"route-views.amsix.routeviews.org","39351","SE","ripencc"
"route-views.amsix.routeviews.org","39591","NL","ripencc"
"route-views.amsix.routeviews.org","42541","DK","ripencc"
"route-views.amsix.routeviews.org","47957","FR","ripencc"
"route-views.amsix.routeviews.org","50763","GB","ripencc"
"route-views.amsix.routeviews.org","51088","NL","ripencc"
"route-views.amsix.routeviews.org","58511","AU","apnic"
"route-views.amsix.routeviews.org","61955","DE","ripencc"
"route-views.amsix.routeviews.org","62955","US","arin"
"route-views.amsix.routeviews.org","199524","LU","ripencc"
"route-views.amsix.routeviews.org","213035","NL","ripencc"
"route-views.amsix.routeviews.org","267613","BR","lacnic"
"route-views.amsix.routeviews.org","3214","DE","ripencc"
"route-views.amsix.routeviews.org","212983","FR","ripencc"
"route-views.amsix.routeviews.org","56662","PL","ripencc"
"route-views.amsix.routeviews.org","208753","IT","ripencc"
"route-views.bdix.routeviews.org","140684","BD","apnic"
"route-views.bdix.routeviews.org","140684","BD","apnic"
"route-views.bdix.routeviews.org","9825","BD","apnic"
"route-views.bdix.routeviews.org","140684","BD","apnic"
"route-views.bdix.routeviews.org","140684","BD","apnic"
"route-views.bdix.routeviews.org","9825","BD","apnic"
"route-views.bknix.routeviews.org","132280","TH","apnic"
"route-views.bknix.routeviews.org","132280","TH","apnic"
"route-views.chicago.routeviews.org","17350","US","arin"
"route-views.chicago.routeviews.org","19151","US","arin"
"route-views.chicago.routeviews.org","6325","US","arin"
"route-views.chicago.routeviews.org","199524","LU","ripencc"
"route-views.chicago.routeviews.org","293","US","arin"
"route-views.chicago.routeviews.org","852","CA","arin"
"route-views.chicago.routeviews.org","17350","US","arin"
"route-views.chicago.routeviews.org","13727","CA","arin"
"route-views.chicago.routeviews.org","19016","CA","arin"
"route-views.chicago.routeviews.org","19653","US","arin"
"route-views.chicago.routeviews.org","32709","US","arin"
"route-views.chicago.routeviews.org","23367","US","arin"
"route-views.chicago.routeviews.org","62955","US","arin"
"route-views.chicago.routeviews.org","714","US","arin"
"route-views.chicago.routeviews.org","53828","US","arin"
"route-views.chicago.routeviews.org","395570","CA","arin"
"route-views.chicago.routeviews.org","4775","PH","apnic"
"route-views.chicago.routeviews.org","25885","US","arin"
"route-views.chicago.routeviews.org","8220","GB","ripencc"
"route-views.chicago.routeviews.org","26744","US","arin"
"route-views.chicago.routeviews.org","16552","US","arin"
"route-views.chicago.routeviews.org","14630","US","arin"
"route-views.chicago.routeviews.org","14630","US","arin"
"route-views.chicago.routeviews.org","293","US","arin"
"route-views.chicago.routeviews.org","714","US","arin"
"route-views.chicago.routeviews.org","852","CA","arin"
"route-views.chicago.routeviews.org","4775","PH","apnic"
"route-views.chicago.routeviews.org","6325","US","arin"
"route-views.chicago.routeviews.org","8220","GB","ripencc"
"route-views.chicago.routeviews.org","14630","US","arin"
"route-views.chicago.routeviews.org","14630","US","arin"
"route-views.chicago.routeviews.org","16552","US","arin"
"route-views.chicago.routeviews.org","17350","US","arin"
"route-views.chicago.routeviews.org","17350","US","arin"
"route-views.chicago.routeviews.org","19016","CA","arin"
"route-views.chicago.routeviews.org","19151","US","arin"
"route-views.chicago.routeviews.org","19653","US","arin"
"route-views.chicago.routeviews.org","23367","US","arin"
"route-views.chicago.routeviews.org","25885","US","arin"
"route-views.chicago.routeviews.org","53828","US","arin"
"route-views.chicago.routeviews.org","62955","US","arin"
"route-views.chicago.routeviews.org","199524","LU","ripencc"
"route-views.chicago.routeviews.org","395570","CA","arin"
"route-views.chile.routeviews.org","27678","CL","lacnic"
"route-views.chile.routeviews.org","27678","CL","lacnic"
"route-views.eqix.routeviews.org","2914","US","arin"
"route-views.eqix.routeviews.org","3257","US","ripencc"
"route-views.eqix.routeviews.org","6079","US","arin"
"route-views.eqix.routeviews.org","6939","US","arin"
"route-views.eqix.routeviews.org","19151","US","arin"
"route-views.eqix.routeviews.org","32098","US","arin"
"route-views.eqix.routeviews.org","6830","NL","ripencc"
"route-views.eqix.routeviews.org","41095","GB","ripencc"
"route-views.eqix.routeviews.org","293","US","arin"
"route-views.eqix.routeviews.org","7795","US","arin"
"route-views.eqix.routeviews.org","11039","US","arin"
"route-views.eqix.routeviews.org","8781","QA","ripencc"
"route-views.eqix.routeviews.org","398465","US","arin"
"route-views.eqix.routeviews.org","57695","US","ripencc"
"route-views.eqix.routeviews.org","40934","US","arin"
"route-views.eqix.routeviews.org","62955","US","arin"
"route-views.eqix.routeviews.org","25885","US","arin"
"route-views.eqix.routeviews.org","199524","LU","ripencc"
"route-views.eqix.routeviews.org","4775","PH","apnic"
"route-views.eqix.routeviews.org","59605","BH","ripencc"
"route-views.eqix.routeviews.org","26744","US","arin"
"route-views.eqix.routeviews.org","54054","US","arin"
"route-views.eqix.routeviews.org","37468","AO","afrinic"
"route-views.eqix.routeviews.org","8220","GB","ripencc"
"route-views.eqix.routeviews.org","16552","US","arin"
