,X,Y,ASN,Peer IP,Continent,Colors
102.67.56.1,-40.896435,-7.9417405,328474,102.67.56.1,Africa,0
103.102.5.1,-40.287777,-6.432047,131477,103.102.5.1,Asia,1
103.200.115.1,-30.137344,-5.062079,64271,103.200.115.1,North America,2
103.212.68.10,-35.589844,-4.4958615,55720,103.212.68.10,Asia,1
104.218.61.163,-39.641396,-6.416407,140984,104.218.61.163,Asia,1
104.244.75.140,0.40685338,-35.741222,140731,104.244.75.140,Asia,1
109.248.43.5,21.413277,-27.04678,202297,109.248.43.5,Europe,3
12.0.1.63,1.7086269,-42.490616,7018,12.0.1.63,North America,2
130.117.255.1,-4.7239604,-39.13878,174,130.117.255.1,North America,2
138.122.60.1,-13.389003,-26.673325,61573,138.122.60.1,South America,4
147.75.35.135,0.79405415,-35.274982,34553,147.75.35.135,North America,2
154.11.12.212,-0.54582465,-41.9306,852,154.11.12.212,North America,2
154.11.15.28,-0.18756984,-41.78249,852,154.11.15.28,North America,2
161.129.152.2,-38.28012,-5.741443,13830,161.129.152.2,North America,2
165.16.221.66,-34.36931,-14.753934,37721,165.16.221.66,Africa,0
165.254.255.2,1.1751857,-45.236717,15562,165.254.255.2,Europe,3
168.195.130.2,20.972614,-27.102707,263702,168.195.130.2,South America,4
168.195.131.1,0.9310804,-44.967384,263702,168.195.131.1,South America,4
176.12.110.8,1.1603737,-42.615562,50300,176.12.110.8,Europe,3
177.221.140.1,0.86469567,-46.07622,270014,177.221.140.1,South America,4
178.208.11.4,-33.457798,-3.5521274,50628,178.208.11.4,Europe,3
185.115.244.25,-4.8087378,-39.460888,28824,185.115.244.25,Europe,3
185.138.53.0,-38.551872,-6.7596984,48821,185.138.53.0,Europe,3
185.142.156.156,24.944553,-25.579054,48147,185.142.156.156,Asia,1
185.152.34.255,14.682243,-27.678608,61292,185.152.34.255,Europe,3
185.181.60.126,16.106075,-27.93581,207564,185.181.60.126,Europe,3
185.193.84.191,-15.484993,-29.09708,29504,185.193.84.191,Europe,3
185.197.132.7,-14.786827,-26.447311,206313,185.197.132.7,Europe,3
