,X,Y,ASN,Peer IP,Continent,Colors
102.67.56.1,-15.951532,-1.9924225,328474,102.67.56.1,Africa,0
103.102.5.1,-13.355955,3.1404114,131477,103.102.5.1,Asia,1
103.200.115.1,-14.432866,-1.4755602,64271,103.200.115.1,North America,2
103.212.68.10,-7.4443693,5.9157176,55720,103.212.68.10,Asia,1
104.218.61.163,-8.833182,3.5856173,140984,104.218.61.163,Asia,1
104.244.75.140,-4.6808558,8.346332,140731,104.244.75.140,Asia,1
109.248.43.5,-3.4434903,10.644403,202297,109.248.43.5,Europe,3
12.0.1.63,-7.915739,10.508143,7018,12.0.1.63,North America,2
130.117.255.1,1.5590667,11.40855,174,130.117.255.1,North America,2
138.122.60.1,-5.148859,6.659602,61573,138.122.60.1,South America,4
147.75.35.135,-8.079126,3.8241656,34553,147.75.35.135,North America,2
154.11.12.212,-10.8486595,10.975991,852,154.11.12.212,North America,2
154.11.15.28,-10.848066,10.976159,852,154.11.15.28,North America,2
161.129.152.2,-7.523446,2.8068733,13830,161.129.152.2,North America,2
165.16.221.66,-2.499375,9.551749,37721,165.16.221.66,Africa,0
165.254.255.2,-6.28314,3.2080803,15562,165.254.255.2,Europe,3
168.195.130.2,2.325107,4.478821,263702,168.195.130.2,South America,4
168.195.131.1,-5.7917423,2.4080806,263702,168.195.131.1,South America,4
176.12.110.8,-5.171041,7.7238803,50300,176.12.110.8,Europe,3
177.221.140.1,-15.415745,-4.292122,270014,177.221.140.1,South America,4
178.208.11.4,-8.476282,9.460652,50628,178.208.11.4,Europe,3
185.115.244.25,-21.010849,7.1277714,28824,185.115.244.25,Europe,3
185.138.53.0,-9.594562,3.561012,48821,185.138.53.0,Europe,3
185.142.156.156,-2.9698272,23.354599,48147,185.142.156.156,Asia,1
185.152.34.255,-5.9770575,6.257167,61292,185.152.34.255,Europe,3
185.181.60.126,-22.21764,7.771794,207564,185.181.60.126,Europe,3
185.193.84.191,-13.209905,0.99068475,29504,185.193.84.191,Europe,3
185.197.132.7,-6.0176806,7.5193768,206313,185.197.132.7,Europe,3
185.210.224.254,-9.48858,1.6649743,49432,185.210.224.254,Europe,3
185.218.193.138,60.445194,0.47630858,211722,185.218.193.138,Europe,3
185.223.213.254,-10.280978,1.3313987,47251,185.223.213.254,Europe,3
187.16.208.144,-2.8886492,13.273762,24482,187.16.208.144,Asia,1
187.16.210.177,-14.05373,-3.3269975,52814,187.16.210.177,South America,4
187.16.210.50,-13.82846,-5.537431,61595,187.16.210.50,South America,4
187.16.216.102,-3.895051,1.0524608,53070,187.16.216.102,South America,4
187.16.216.121,-6.014096,4.728064,42473,187.16.216.121,Europe,3
187.16.216.127,12.875095,74.16314,25933,187.16.216.127,South America,4
187.16.216.131,-23.65039,-3.6937726,28634,187.16.216.131,South America,4
187.16.216.20,0.62392604,61.31103,28571,187.16.216.20,South America,4
187.16.216.209,-23.650599,-3.6938226,28634,187.16.216.209,South America,4
187.16.216.219,-2.400201,3.0607772,14840,187.16.216.219,South America,4
187.16.217.110,-2.6979635,4.598149,23106,187.16.217.110,South America,4
187.16.217.161,-5.5158815,17.275917,13786,187.16.217.161,North America,2
187.16.217.17,-5.755115,5.6779613,22548,187.16.217.17,South America,4
187.16.217.186,6.5585628,17.559423,1828,187.16.217.186,North America,2
187.16.217.238,-0.5391398,12.328721,7195,187.16.217.238,South America,4
187.16.217.27,-1.9380803,-1.7425013,28329,187.16.217.27,South America,4
187.16.217.48,-5.40078,6.6333914,16735,187.16.217.48,South America,4
187.16.217.59,-2.6654627,4.5584817,23106,187.16.217.59,South America,4
187.16.218.21,1.7891114,71.851685,52888,187.16.218.21,South America,4
187.16.219.162,-6.0500445,5.270447,52863,187.16.219.162,South America,4
187.16.219.51,-17.132803,17.429113,28186,187.16.219.51,South America,4
187.16.220.210,-2.7998235,3.2683654,263508,187.16.220.210,South America,4
187.16.220.214,1.7242347,68.33338,53067,187.16.220.214,South America,4
187.16.220.216,-4.809596,-0.31458405,52873,187.16.220.216,South America,4
187.16.220.80,1.2686502,6.643226,267613,187.16.220.80,South America,4
187.16.221.193,6.1151943,12.650196,37468,187.16.221.193,Africa,0
187.16.222.107,-16.218637,1.5172027,263152,187.16.222.107,South America,4
187.16.222.229,-5.4839864,5.5443454,199524,187.16.222.229,Europe,3
187.16.222.45,-9.693973,8.63235,263237,187.16.222.45,South America,4
187.16.223.117,1.7242347,68.33338,262757,187.16.223.117,South America,4
187.16.223.133,-17.132824,17.429106,28186,187.16.223.133,South America,4
187.16.223.214,1.7242347,68.33338,52871,187.16.223.214,South America,4
189.126.8.1,4.0217295,0.50742835,269956,189.126.8.1,South America,4
190.210.113.192,-2.3814037,67.45189,16814,190.210.113.192,South America,4
192.65.185.119,-0.52894855,67.669525,21320,192.65.185.119,Europe,3
192.65.185.130,-4.9263,9.29724,559,192.65.185.130,Europe,3
192.65.185.137,-0.28181157,69.41641,3303,192.65.185.137,Europe,3
192.65.185.140,-5.0509634,5.832277,29222,192.65.185.140,Europe,3
192.65.185.142,-5.0904984,7.91959,20932,192.65.185.142,Europe,3
192.65.185.157,-6.2187123,6.2324357,12350,192.65.185.157,Europe,3
192.65.185.165,-2.3549716,18.896555,8220,192.65.185.165,Europe,3
192.65.185.195,-5.3536744,9.963214,15547,192.65.185.195,Europe,3
192.65.185.243,4.846688,70.49485,15830,192.65.185.243,Europe,3
192.65.185.244,-19.012547,24.508207,25091,192.65.185.244,Europe,3
192.65.185.3,-6.878331,5.3074617,513,192.65.185.3,Europe,3
193.0.0.56,25.435404,-15.148587,3333,193.0.0.56,Europe,3
193.138.216.164,-4.9039392,8.2509985,39351,193.138.216.164,Europe,3
193.148.249.191,-8.337895,4.0810037,49752,193.148.249.191,Europe,3
193.148.251.1,-7.4181185,5.4865584,34927,193.148.251.1,Europe,3
193.150.22.240,-22.152746,6.8348684,57381,193.150.22.240,Europe,3
193.160.39.1,-11.443663,0.06389629,57821,193.160.39.1,Europe,3
193.203.0.1,4.846688,70.49485,1853,193.203.0.1,,5
193.203.0.101,6.538748,70.76153,5588,193.203.0.101,Europe,3
193.203.0.104,3.4575725,69.66897,24953,193.203.0.104,Europe,3
193.203.0.11,5.960514,67.12424,8447,193.203.0.11,Europe,3
193.203.0.124,7.696767,69.85185,34347,193.203.0.124,Europe,3
193.203.0.131,4.380113,68.31185,21013,193.203.0.131,Europe,3
193.203.0.134,7.351622,66.527374,39912,193.203.0.134,Europe,3
193.203.0.136,4.846688,70.49485,21385,193.203.0.136,Europe,3
193.203.0.15,4.380113,68.31185,5403,193.203.0.15,Europe,3
193.203.0.157,-6.8760524,5.424727,35369,193.203.0.157,Europe,3
193.203.0.16,4.380113,68.31185,6798,193.203.0.16,Europe,3
193.203.0.17,6.2502832,69.20947,8245,193.203.0.17,Europe,3
193.203.0.172,6.823846,67.88808,21320,193.203.0.172,Europe,3
193.203.0.182,-2.0535347,6.320519,48362,193.203.0.182,Europe,3
193.203.0.185,12.182164,23.877966,6939,193.203.0.185,North America,2
193.203.0.19,-12.126063,13.258637,47147,193.203.0.19,Europe,3
193.203.0.192,-6.632687,10.660982,47692,193.203.0.192,Europe,3
193.203.0.194,8.118814,68.248344,32934,193.203.0.194,North America,2
193.203.0.205,4.380113,68.31185,32934,193.203.0.205,North America,2
193.203.0.21,6.2502832,69.20947,8447,193.203.0.21,Europe,3
193.203.0.213,-10.044887,4.716383,51184,193.203.0.213,Europe,3
193.203.0.245,-19.508963,12.954091,59890,193.203.0.245,Europe,3
193.203.0.26,5.238595,71.924255,8387,193.203.0.26,Europe,3
193.203.0.3,4.380113,68.31185,2686,193.203.0.3,North America,2
193.203.0.33,4.783647,73.81057,42,193.203.0.33,North America,2
193.203.0.45,-25.535378,18.582487,8218,193.203.0.45,Europe,3
193.203.0.5,1.7891114,71.851685,5403,193.203.0.5,Europe,3
193.203.0.55,-2.3549716,18.896555,8220,193.203.0.55,Europe,3
193.203.0.63,-8.546259,3.8144085,6720,193.203.0.63,Europe,3
193.203.0.64,7.0432186,71.98771,6730,193.203.0.64,Europe,3
193.203.0.81,4.783647,73.81057,20751,193.203.0.81,Europe,3
193.203.0.86,4.783647,73.81057,12577,193.203.0.86,Europe,3
193.203.0.87,3.2386115,75.12977,21360,193.203.0.87,Europe,3
193.203.0.91,-5.1734095,8.205334,13237,193.203.0.91,Europe,3
193.239.116.10,6.3913717,73.16063,35332,193.239.116.10,Europe,3
193.239.116.17,-4.5422654,8.587054,20562,193.239.116.17,Europe,3
193.239.116.18,1.7891114,71.851685,31383,193.239.116.18,Europe,3
193.239.116.27,1.7891114,71.851685,13101,193.239.116.27,Europe,3
193.239.116.5,-0.015509681,74.67845,24753,193.239.116.5,Europe,3
193.239.116.98,1.7891114,71.851685,39591,193.239.116.98,Europe,3
193.239.117.127,-10.031373,3.1199393,207910,193.239.117.127,Europe,3
193.239.117.18,-6.60766,6.1495566,205206,193.239.117.18,Europe,3
193.239.117.196,1.7891114,71.851685,213392,193.239.117.196,Europe,3
193.239.117.69,-8.832966,3.5798447,137490,193.239.117.69,Europe,3
193.239.118.106,-5.5458097,6.9235945,42541,193.239.118.106,Europe,3
193.239.118.134,-1.6520818,71.48154,197301,193.239.118.134,Europe,3
193.239.118.166,-4.6581607,8.017136,51999,193.239.118.166,,5
193.239.118.216,-9.4203205,5.4587727,34927,193.239.118.216,Europe,3
193.239.118.220,-9.017803,3.3985362,209650,193.239.118.220,Europe,3
193.242.98.13,-2.3549716,18.896555,8220,193.242.98.13,Europe,3
193.242.98.137,1.7891114,71.851685,15699,193.242.98.137,Europe,3
193.242.98.141,-5.6144795,6.141156,29680,193.242.98.141,Europe,3
193.242.98.143,1.7891114,71.851685,35699,193.242.98.143,Europe,3
193.242.98.144,-1.6520818,71.48154,49835,193.242.98.144,Europe,3
193.242.98.160,1.7891114,71.851685,43578,193.242.98.160,Europe,3
193.242.98.19,1.7891114,71.851685,766,193.242.98.19,Europe,3
193.242.98.38,1.7891114,71.851685,13041,193.242.98.38,Europe,3
193.242.98.4,1.7891114,71.851685,16030,193.242.98.4,Europe,3
193.242.98.98,-1.6520818,71.48154,60082,193.242.98.98,Europe,3
193.43.214.253,-8.150322,4.1594424,44097,193.43.214.253,Europe,3
194.25.5.148,8.481012,7.2870097,3320,194.25.5.148,Europe,3
194.28.99.120,-8.795348,1.1019803,34872,194.28.99.120,Europe,3
194.50.19.118,-14.667088,0.26157334,140984,194.50.19.118,Asia,1
194.50.19.4,-4.617206,6.7583737,202365,194.50.19.4,Asia,1
194.50.92.251,-8.548547,3.8128915,58057,194.50.92.251,Europe,3
194.50.94.1,-9.245537,2.6794062,61218,194.50.94.1,Europe,3
194.50.99.254,6.453858,-20.957375,34800,194.50.99.254,Europe,3
194.50.99.88,-11.007915,-2.5158083,58057,194.50.99.88,Europe,3
194.68.123.104,-2.3549716,18.896555,8220,194.68.123.104,Europe,3
194.68.123.111,1.7891114,71.851685,3301,194.68.123.111,Europe,3
194.68.123.116,1.7891114,71.851685,3303,194.68.123.116,Europe,3
194.68.123.136,-5.232639,7.0761094,6667,194.68.123.136,Europe,3
194.68.123.138,-1.6520818,71.48154,13189,194.68.123.138,Europe,3
194.68.123.149,1.7891114,71.851685,2116,194.68.123.149,Europe,3
194.68.123.152,1.7891114,71.851685,16086,194.68.123.152,Europe,3
194.68.123.156,1.7891114,71.851685,39651,194.68.123.156,Europe,3
194.68.123.157,14.128237,14.304855,9002,194.68.123.157,Europe,3
194.68.123.164,1.7891114,71.851685,3327,194.68.123.164,Europe,3
194.68.123.18,-6.484012,5.913097,42473,194.68.123.18,Europe,3
194.68.123.187,10.977702,23.916624,6939,194.68.123.187,North America,2
194.68.123.191,-6.516798,5.911817,199524,194.68.123.191,Europe,3
194.68.123.22,-0.015509681,74.67845,31027,194.68.123.22,Europe,3
194.68.123.226,-3.9733934,9.116018,24482,194.68.123.226,Asia,1
194.68.123.24,1.7891114,71.851685,2603,194.68.123.24,Europe,3
194.68.123.35,7.3047624,4.322098,31133,194.68.123.35,Europe,3
194.68.123.41,1.7891114,71.851685,3292,194.68.123.41,Europe,3
194.68.123.69,-9.438893,3.0995772,208478,194.68.123.69,Europe,3
194.68.123.73,-1.6520818,71.48154,8674,194.68.123.73,Europe,3
194.68.123.9,1.7891114,71.851685,714,194.68.123.9,North America,2
195.208.208.147,13.875834,-13.356575,28917,195.208.208.147,Europe,3
195.208.208.188,1.7891114,71.851685,6866,195.208.208.188,Asia,1
195.208.208.223,-5.0629053,7.9605746,20764,195.208.208.223,Europe,3
195.208.208.30,0.8694183,21.573624,8359,195.208.208.30,Europe,3
195.208.208.36,-8.976113,2.6007836,2895,195.208.208.36,Europe,3
195.208.208.44,1.7891114,71.851685,3267,195.208.208.44,Europe,3
195.208.208.59,1.7891114,71.851685,8470,195.208.208.59,Europe,3
195.208.209.109,-4.2127604,9.1708765,24482,195.208.209.109,Asia,1
195.208.209.200,-6.054694,6.570124,199524,195.208.209.200,Europe,3
195.208.209.4,-3.55617,5.2773438,41095,195.208.209.4,Europe,3
195.208.209.55,-1.6520818,71.48154,29479,195.208.209.55,Europe,3
195.208.209.66,-10.237301,14.913487,35598,195.208.209.66,Europe,3
195.208.209.93,-18.350933,23.438898,25091,195.208.209.93,Europe,3
195.208.210.19,1.7242347,68.33338,2854,195.208.210.19,Europe,3
195.208.210.33,-8.366708,7.100913,47441,195.208.210.33,North America,2
195.208.210.40,11.006187,22.56227,6939,195.208.210.40,North America,2
195.208.210.52,-7.1351357,5.457334,41722,195.208.210.52,Europe,3
195.47.235.100,-8.210054,3.3409786,6881,195.47.235.100,Europe,3
195.66.224.101,-1.8887267,69.019455,5503,195.66.224.101,Europe,3
195.66.224.108,4.0340796,65.21541,5400,195.66.224.108,Europe,3
195.66.224.110,-0.9152255,6.769536,3303,195.66.224.110,Europe,3
195.66.224.111,-5.8743677,6.384263,8607,195.66.224.111,Europe,3
195.66.224.131,-0.51287305,3.0533617,28792,195.66.224.131,Europe,3
195.66.224.133,4.0340796,65.21541,22822,195.66.224.133,North America,2
195.66.224.135,4.0340796,65.21541,31727,195.66.224.135,Europe,3
195.66.224.136,4.0340796,65.21541,13285,195.66.224.136,Europe,3
195.66.224.137,8.480953,7.2870364,3320,195.66.224.137,Europe,3
195.66.224.138,10.529602,10.32639,2914,195.66.224.138,North America,2
195.66.224.159,4.0340796,65.21541,8966,195.66.224.159,Asia,1
195.66.224.167,-0.722554,9.342713,3491,195.66.224.167,North America,2
195.66.224.172,4.0340796,65.21541,8422,195.66.224.172,Europe,3
195.66.224.175,-4.880519,7.6518607,13030,195.66.224.175,Europe,3
195.66.224.176,8.424013,12.5954275,9318,195.66.224.176,Asia,1
195.66.224.177,2.5055838,13.699291,4637,195.66.224.177,Asia,1
195.66.224.193,3.7077873,15.259125,9002,195.66.224.193,Europe,3
195.66.224.208,1.8273487,63.884205,34245,195.66.224.208,Europe,3
195.66.224.21,13.101405,23.761337,6939,195.66.224.21,North America,2
195.66.224.223,4.0340796,65.21541,29550,195.66.224.223,Europe,3
195.66.224.232,4.0340796,65.21541,35228,195.66.224.232,Europe,3
195.66.224.31,4.1899405,17.711582,32787,195.66.224.31,North America,2
195.66.224.46,5.893013,59.538544,8708,195.66.224.46,Europe,3
195.66.224.49,-7.123629,20.32947,8220,195.66.224.49,Europe,3
195.66.224.59,1.8273487,63.884205,24931,195.66.224.59,Europe,3
195.66.224.64,-0.657784,63.867344,3292,195.66.224.64,Europe,3
195.66.224.68,4.0340796,65.21541,30844,195.66.224.68,Europe,3
195.66.224.76,3.0349205,26.066668,6461,195.66.224.76,North America,2
195.66.224.81,-1.9708309,15.1237955,1828,195.66.224.81,North America,2
195.66.224.82,0.72811985,65.31838,15830,195.66.224.82,Europe,3
195.66.224.83,-2.974447,23.290781,5511,195.66.224.83,Europe,3
195.66.224.85,4.0340796,65.21541,6730,195.66.224.85,Europe,3
195.66.224.89,-0.02774434,7.808345,6830,195.66.224.89,Europe,3
195.66.224.93,0.72811985,65.31838,8851,195.66.224.93,Europe,3
195.66.225.216,-4.887667,27.699444,25160,195.66.225.216,Europe,3
195.66.225.238,0.72811985,65.31838,42,195.66.225.238,North America,2
195.66.225.32,-26.284676,2.4337785,6908,195.66.225.32,Europe,3
195.66.225.35,-0.14859296,10.799187,1239,195.66.225.35,North America,2
195.66.225.48,-2.725586,7.2983427,62167,195.66.225.48,Europe,3
195.66.225.54,10.161318,4.792835,4134,195.66.225.54,Asia,1
195.66.225.7,0.72811985,65.31838,34790,195.66.225.7,Europe,3
195.66.226.113,-6.0402756,6.681053,42473,195.66.226.113,Europe,3
195.66.226.123,4.0340796,65.21541,60171,195.66.226.123,Europe,3
195.66.226.13,-5.0275207,7.390312,8896,195.66.226.13,Europe,3
195.66.226.161,4.0340796,65.21541,21320,195.66.226.161,Europe,3
195.66.226.18,-4.048883,8.818378,37721,195.66.226.18,Africa,0
195.66.226.205,4.0340796,65.21541,6866,195.66.226.205,Asia,1
195.66.226.212,-11.995005,3.0078273,7489,195.66.226.212,North America,2
195.66.226.31,-10.963473,26.629461,12779,195.66.226.31,Europe,3
195.66.226.38,-3.9552538,9.122561,24482,195.66.226.38,Asia,1
195.66.226.84,4.8260984,3.5695703,60501,195.66.226.84,Europe,3
195.66.226.97,-4.7279124,7.808248,39122,195.66.226.97,Europe,3
195.66.227.104,-7.067215,6.2875667,207044,195.66.227.104,Europe,3
195.66.227.105,-3.9872882,7.9760256,34927,195.66.227.105,Europe,3
195.66.227.120,-18.327742,-1.383182,57695,195.66.227.120,North America,2
195.66.227.148,-4.3207903,7.7606106,14630,195.66.227.148,North America,2
195.66.227.153,-1.2789927,65.23084,35228,195.66.227.153,Europe,3
195.66.227.163,1.7386622,15.462037,1299,195.66.227.163,Europe,3
195.66.227.169,3.5001562,59.178528,35228,195.66.227.169,Europe,3
195.66.227.193,-6.223897,6.460319,6233,195.66.227.193,North America,2
195.66.227.195,-6.970824,6.82578,3170,195.66.227.195,Europe,3
195.66.227.27,-4.0520153,8.046686,37680,195.66.227.27,Africa,0
195.66.227.42,0.62392604,61.31103,2856,195.66.227.42,Europe,3
195.66.227.58,-0.5374565,2.6047237,199283,195.66.227.58,Europe,3
195.66.227.75,6.250905,62.169857,62955,195.66.227.75,North America,2
195.66.227.90,-4.4256687,14.971667,51185,195.66.227.90,Europe,3
195.66.227.96,3.3531594,61.988,56444,195.66.227.96,Europe,3
196.60.8.133,3.5001562,59.178528,8075,196.60.8.133,North America,2
196.60.8.139,0.62392604,61.31103,32653,196.60.8.139,Africa,0
196.60.8.152,-1.0939057,8.577951,3491,196.60.8.152,North America,2
196.60.8.156,6.250905,62.169857,37314,196.60.8.156,Africa,0
196.60.8.171,-3.1626744,5.989871,37680,196.60.8.171,Africa,0
196.60.8.172,3.5001562,59.178528,327754,196.60.8.172,Africa,0
196.60.8.185,-14.647136,9.75417,37497,196.60.8.185,Africa,0
196.60.8.188,7.454402,1.6239017,37100,196.60.8.188,Africa,0
196.60.8.190,-6.321259,6.7579484,37239,196.60.8.190,Africa,0
196.60.8.199,-0.59742254,1.0389159,37640,196.60.8.199,Africa,0
196.60.8.203,3.3531594,61.988,16637,196.60.8.203,Africa,0
196.60.8.215,4.0728335,-2.4921527,30844,196.60.8.215,Europe,3
196.60.8.216,0.62392604,61.31103,2018,196.60.8.216,Africa,0
196.60.8.22,-9.734389,-5.2991676,327960,196.60.8.22,Africa,0
196.60.8.232,6.932083,-1.3328183,37662,196.60.8.232,Africa,0
196.60.8.237,6.250905,62.169857,37546,196.60.8.237,Africa,0
196.60.8.44,-14.458299,9.69965,327983,196.60.8.44,Africa,0
196.60.8.60,-3.623677,7.8725085,37468,196.60.8.60,Africa,0
196.60.9.137,-3.9108992,4.274607,328137,196.60.9.137,Africa,0
196.60.9.155,-0.6946706,1.1135961,328320,196.60.9.155,Africa,0
196.60.9.161,6.250905,62.169857,714,196.60.9.161,North America,2
196.60.9.165,-7.858321,2.6490817,57695,196.60.9.165,North America,2
196.60.9.188,-9.266047,4.6073866,199524,196.60.9.188,Europe,3
196.60.9.230,1.6506513,4.684789,37721,196.60.9.230,Africa,0
196.60.9.37,-4.6926575,3.1596925,328137,196.60.9.37,Africa,0
196.60.9.88,0.62392604,61.31103,328220,196.60.9.88,Africa,0
