,X,Y,ASN,Continent,Colors
55805,-42.452713,-29.150436,55805,Asia,0
34683,20.356192,-20.531963,34683,Europe,1
8632,59.40049,34.879612,8632,Europe,1
51375,39.465744,28.123497,51375,Asia,0
48685,-13.162188,-24.450882,48685,Europe,1
21412,64.50809,13.347427,21412,Europe,1
41798,55.032024,-11.809266,41798,Asia,0
23889,8.611098,-6.769442,23889,Africa,2
60415,39.812862,-23.047108,60415,Europe,1
34897,-65.063835,11.952464,34897,Asia,0
25509,23.066486,41.176228,25509,Europe,1
10075,4.8364987,15.548231,10075,Asia,0
3215,41.475567,29.533401,3215,Europe,1
4788,43.271027,-13.838524,4788,Asia,0
327814,-25.027622,-16.677107,327814,Africa,2
31042,66.35932,36.255283,31042,Europe,1
3491,29.919262,35.913525,3491,North America,3
61506,22.688334,36.901394,61506,South America,4
30997,20.285366,43.255627,30997,Africa,2
15703,-66.57844,28.088066,15703,Europe,1
4787,-10.312303,-0.6582909,4787,Asia,0
3462,24.219769,-4.6302543,3462,Asia,0
22047,14.466333,17.392828,22047,South America,4
198068,69.418365,16.854322,198068,Europe,1
39273,-15.0949955,-8.218655,39273,Asia,0
6752,23.195154,-13.704751,6752,Europe,1
20875,21.27136,24.435265,20875,Europe,1
6057,10.147586,27.046717,6057,South America,4
42313,59.619007,30.199009,42313,Europe,1
132199,-5.471566,-1.6187524,132199,Asia,0
38229,21.1195,-18.676983,38229,Asia,0
8301,33.447956,23.386337,8301,Europe,1
4766,-5.2991247,2.4137647,4766,Asia,0
48252,-25.175533,-11.201866,48252,North America,3
8680,13.065257,-3.7722392,8680,Europe,1
24757,19.350948,9.851314,24757,Africa,2
8551,24.72736,-4.7499022,8551,Asia,0
24634,-22.410873,-17.905445,24634,Asia,0
58328,22.813526,-30.65043,58328,Europe,1
35444,13.061401,-17.457106,35444,Europe,1
8151,7.383107,8.746089,8151,North America,3
21283,18.19193,-45.870888,21283,Europe,1
37537,11.101899,-5.1650004,37537,Africa,2
21282,66.633804,16.059,21282,Asia,0
5391,21.080866,-12.561638,5391,Europe,1
15964,2.2942152,4.4721336,15964,Africa,2
3249,55.78114,8.495054,3249,Europe,1
4760,12.815918,8.29317,4760,Asia,0
328228,-23.57007,-16.469631,328228,Africa,2
2107,22.918129,19.638332,2107,Europe,1
37187,0.28818077,-0.43476585,37187,Africa,2
57695,23.337488,36.829033,57695,North America,3
327687,-15.20411,-15.348787,327687,Africa,2
264608,9.485375,41.106747,264608,South America,4
206008,-40.709824,-12.566124,206008,Asia,0
48503,67.02795,15.3549,48503,Asia,0
328358,6.225324,0.5578827,328358,Africa,2
16010,37.807327,12.454742,16010,Asia,0
47583,-73.40714,18.696234,47583,Asia,0
23951,0.9055179,-18.95491,23951,Asia,0
4434,-10.421379,-2.7014987,4434,Asia,0
64112,8.566447,35.708206,64112,South America,4
202422,30.740913,36.363537,202422,Europe,1
2108,49.370914,38.660885,2108,Europe,1
17639,-5.433419,0.31258243,17639,Asia,0
49472,-30.203703,-48.0979,49472,Europe,1
36926,-50.6334,37.921703,36926,Africa,2
24877,41.542694,-25.199883,24877,Europe,1
198524,-48.298756,-12.295983,198524,Europe,1
3352,41.126423,28.51955,3352,Europe,1
5576,-6.2801194,-28.48621,5576,Europe,1
24921,63.513165,15.472127,24921,Europe,1
56933,1.4647343,-6.230435,56933,Europe,1
12778,20.97402,25.017082,12778,Europe,1
8386,-3.2047114,-25.694403,8386,Asia,0
7642,37.596504,27.64554,7642,Asia,0
5603,52.395348,29.53455,5603,Europe,1
8764,68.2198,24.433634,8764,Europe,1
9198,66.7925,16.180468,9198,Asia,0
15133,26.619682,33.85729,15133,North America,3
15802,56.186718,46.994404,15802,Asia,0
22894,20.31222,38.623722,22894,North America,3
24550,-8.372291,-5.9990506,24550,Asia,0
61327,-19.362766,-34.57971,61327,Europe,1
37468,7.416938,-7.955901,37468,Africa,2
378,44.485718,28.23459,378,Asia,0
61468,7.200543,37.965054,61468,South America,4
42560,-35.14192,-29.282707,42560,Europe,1
17408,-26.939428,-5.909678,17408,Asia,0
199071,47.33088,18.85237,199071,Europe,1
37002,-52.05281,38.318794,37002,Africa,2
6661,36.29806,39.110527,6661,Europe,1
18403,-4.8485785,0.6672633,18403,Asia,0
41897,28.16865,-26.844248,41897,Europe,1
44217,-52.116085,36.483593,44217,Asia,0
57187,25.002802,11.714448,57187,Asia,0
56740,48.396442,2.6920133,56740,Europe,1
57760,-29.36384,-26.152094,57760,Europe,1
204671,50.459663,3.7328064,204671,Europe,1
51225,67.287506,13.561877,51225,Asia,0
3605,9.890194,18.506657,3605,Oceania,5
12008,29.787136,34.810608,12008,North America,3
23700,-11.758254,-2.082673,23700,Asia,0
202536,37.733837,12.38719,202536,Asia,0
131749,-6.3404765,-4.2674947,131749,Asia,0
59861,55.81622,18.198345,59861,Europe,1
28099,-22.41998,23.787506,28099,South America,4
27833,-27.130121,17.60881,27833,South America,4
29555,46.440315,2.5120144,29555,Asia,0
8048,-20.649704,14.077891,8048,South America,4
52048,64.5507,13.2121525,52048,North America,3
25106,55.27804,18.153051,25106,Europe,1
52455,-25.952614,17.642487,52455,South America,4
13122,16.361597,-4.488465,13122,Europe,1
7727,6.543602,9.722788,7727,North America,3
12812,14.013383,31.370024,12812,Asia,0
278,-25.494642,-2.9782796,278,North America,3
29032,3.8617144,1.9551789,29032,Africa,2
328162,-3.2054548,2.7651951,328162,Africa,2
29222,-65.92053,14.433479,29222,Europe,1
24851,31.76043,26.748594,24851,Europe,1
8285,39.9665,-24.04812,8285,Europe,1
27651,15.29836,5.747953,27651,South America,4
34362,31.222992,-7.0436034,34362,Europe,1
58369,-63.621803,31.267084,58369,Asia,0
25180,-4.9129205,-21.34925,25180,Europe,1
41937,-48.625935,-31.312145,41937,Europe,1
1257,14.806005,-31.174006,1257,,6
42841,40.919323,-9.380997,42841,Europe,1
263779,18.776266,39.97123,263779,North America,3
5692,-17.439182,24.551937,5692,South America,4
27882,-26.46964,-9.257045,27882,South America,4
6400,8.27415,10.472065,6400,North America,3
7470,-12.355165,4.2963586,7470,Asia,0
56635,-9.307296,-31.897568,56635,Europe,1
25429,0.021885028,2.5203846,25429,Africa,2
