asn,hege
14061,0.000886747663966804
13335,0.00144904817517903
2519,0.00293985215148496
4788,0.00159140012796949
132203,0.000569920681465021
64050,0.00012654538923743
4775,0.000259882971546072
18403,0.000547094335290325
9318,0.00884979682278035
16509,0.0193809983364775
8075,0.0146866180017148
199524,5.77543340263493e-05
36351,0.00148964706629377
50010,0.000103333978703794
6453,0.0187382979892993
15802,0.000402359134364811
8849,3.55585272571438e-06
43996,2.17002595975706e-06
23764,0.000253135631494962
1828,0.000643293233352428
2914,0.0445217486659187
9009,0.000418911476874842
49544,7.45188655943573e-05
15169,0.00597032782261063
62955,1.31037810744144e-05
17639,0.000157861032915833
45102,0.000799386157403233
32787,0.00348726471959972
139009,2.85513639979054e-05
45960,2.63742703692814e-05
7545,0.00222179601398822
45352,2.28034234760715e-05
9269,0.000659264657100314
55850,4.46199558070939e-05
4826,0.00242774505677151
45899,0.00258752550694743
58511,0.000117463450650287
9534,0.000168650411311176
45629,0.000177239670276114
2687,0.000534773612483259
16276,0.00138498119544286
714,0.00586658171966631
20940,0.00388560951979606
9498,0.00581276237447646
4761,0.000868110676328407
9299,0.00115510129210927
396998,0.000225053895277854
45430,0.000303956831212593
24203,3.90098753277911e-05
8966,0.00121777768487136
8529,0.000362913789563741
38040,0.000297127072904292
13445,8.36298066772782e-05
4229,2.08982549685545e-05
7979,9.50620468100846e-05
54113,0.00010608108404497
35280,0.000192612689767665
46489,1.30201051571281e-05
21859,0.000325814445620766
2906,5.1296643779466e-05
57976,2.10988965269129e-05
55256,1.28531667502908e-05
7552,0.00187359508094543
4648,0.000478039595284699
17547,7.71644682547302e-05
4773,0.00013081242625432
8220,0.00152996565720095
24492,6.77136652984202e-06
9989,1.15863496542682e-05
7642,2.08656857680046e-05
63916,5.53735670893958e-06
38195,0.000337729949798726
45706,1.55287255600967e-06
38082,0.000902868784173625
10310,0.000272346738113371
55805,1.02857514801626e-05
10024,7.67861667432122e-06
38466,1.03494398653895e-05
45474,2.37625004084901e-05
2518,0.00130286818278838
38753,2.91094333322244e-06
38880,2.90102161478163e-05
4809,0.00119419239438827
32934,4.8993095457798e-05
34309,0.000114162821094403
4800,7.27634515582487e-05
38623,2.82062216449597e-05
38565,6.64370046830184e-05
33438,5.46248702151813e-05
133385,1.05573059672292e-05
137409,4.98764523453084e-05
8781,0.000247575976978697
138915,1.03543115050311e-05
17557,0.00149104444753551
22822,9.64557959174694e-05
37271,0.000163012287593119
23889,0.000311232212742377
4637,0.00836746089705008
19551,0.000236599998507377
139341,1.00997204706085e-05
9873,1.05184334066474e-05
132167,5.08982945912347e-06
137236,1.00155869665059e-06
64096,2.23951249040184e-06
58436,1.50371817129993e-06
9902,1.84407779962042e-05
18106,5.52476256228316e-05
58907,6.67701160973501e-07
23673,1.00733356233704e-05
55944,2.83776150656109e-06
15412,0.00229599074944395
63956,3.30564774420983e-05
24516,8.66839194123509e-06
58552,8.71715188924676e-05
36236,6.34183626332836e-05
38001,1.96537744730829e-05
58717,9.12843386437139e-05
58601,1.50171250228933e-05
59318,8.09089615695444e-06
9268,3.63901224453958e-05
16552,4.34011319571382e-06
29990,1.1017100280839e-05
23576,6.66372274241425e-05
45356,5.84245016056694e-06
38758,1.3548639931644e-05
10226,3.36467408701512e-06
20473,0.000473779433601916
4764,7.30279764141382e-05
45558,1.29208485292194e-05
19679,2.43713635269364e-05
59325,1.00156000979451e-06
17660,7.847011349776e-06
30081,3.33929187917092e-06
134078,2.04150175673861e-05
55967,1.61711037858903e-05
58715,3.42489473297533e-05
4628,3.82576825768816e-05
63949,0.000194640888866369
137991,3.59196157743019e-06
15695,0.000206620231377112
45903,5.71423496324154e-05
56308,1.15526306099932e-05
45896,1.88855047923346e-05
17451,6.24905380721292e-05
14537,2.39518637831659e-05
17726,2.75428641578913e-06
24482,0.000131542948626226
140224,5.10204130470501e-05
135391,2.52658103953273e-05
136907,0.000107837133901253
26464,8.93092432202572e-06
135423,1.72160957183661e-06
55769,2.08657747997843e-06
13896,2.33698897041696e-06
6660,1.77622502324638e-05
48024,9.53104717841407e-06
24429,1.13944251147718e-05
64049,0.00191232884577103
9658,8.23214160740685e-05
30058,5.67542623459584e-06
24535,3.51777422717445e-06
38182,2.00412510659802e-05
3462,0.00472598336600346
58952,3.33326055588054e-06
9930,0.000371273675364694
10094,3.89672104618945e-05
3300,8.01201780669093e-05
4651,0.000607464786769312
17978,6.02538041630691e-06
9924,0.00106434839800227
1239,0.00831404842273718
15133,0.000177964715472929
13414,1.44812116995371e-05
42,2.1749751031188e-05
6461,0.0183910708412875
19807,5.84243339046796e-07
136255,1.07866397670489e-05
1248,1.33541717955816e-05
40627,5.42510960685738e-06
9505,0.000979759278862538
19229,3.42675644950778e-05
62713,1.75269354634236e-06
36692,2.86101265555821e-05
31898,0.00100461123345737
