ROUTEVIEWS_COLLECTOR|AS_NUMBER|PEERING_ADDRESS|PREFIXES|CC|REGION|ASNAME
decix.jhb.routeviews.org|38175|103.119.232.252|442|MY|apnic |DCMSB-AS-AP DE CIX MALAYSIA SDN. BHD., MY
decix.jhb.routeviews.org|38175|103.119.233.252|442|MY|apnic |DCMSB-AS-AP DE CIX MALAYSIA SDN. BHD., MY
decix.jhb.routeviews.org|56140|103.119.234.59|2|MY|apnic |NOCSER-MY ModernOne Data Solutions Sdn. Bhd., MY
decix.jhb.routeviews.org|38194|103.119.234.252|107447|MY|apnic |DECIX-KUL-AS DE-CIX Kuala Lumpur Route Servers, MY
decix.jhb.routeviews.org|38194|103.119.234.253|107422|MY|apnic |DECIX-KUL-AS DE-CIX Kuala Lumpur Route Servers, MY
decix.jhb.routeviews.org|38137|103.162.254.252|115679|SG|apnic |DECIXASIAPTELTD-AS-SG DE-CIX ASIA PTE LTD, SG
decix.jhb.routeviews.org|38137|103.162.254.253|115654|SG|apnic |DECIXASIAPTELTD-AS-SG DE-CIX ASIA PTE LTD, SG
decix.jhb.routeviews.org|38137|2001:df6:480::94f9:a:1|48171|SG|apnic |DECIXASIAPTELTD-AS-SG DE-CIX ASIA PTE LTD, SG
decix.jhb.routeviews.org|38137|2001:df6:480::94f9:a:2|48147|SG|apnic |DECIXASIAPTELTD-AS-SG DE-CIX ASIA PTE LTD, SG
decix.jhb.routeviews.org|38175|2403:4ac0::951f:a:1|98|MY|apnic |DCMSB-AS-AP DE CIX MALAYSIA SDN. BHD., MY
decix.jhb.routeviews.org|38175|2403:4ac0::951f:a:2|98|MY|apnic |DCMSB-AS-AP DE CIX MALAYSIA SDN. BHD., MY
decix.jhb.routeviews.org|38194|2403:4ac0:1::9532:a:1|47584|MY|apnic |DECIX-KUL-AS DE-CIX Kuala Lumpur Route Servers, MY
decix.jhb.routeviews.org|38194|2403:4ac0:1::9532:a:2|47560|MY|apnic |DECIX-KUL-AS DE-CIX Kuala Lumpur Route Servers, MY
decix.jhb.routeviews.org|56140|2403:4ac0:1::db4c:0:1|0|MY|apnic |NOCSER-MY ModernOne Data Solutions Sdn. Bhd., MY
pacwave.lax.routeviews.org|2153|207.231.240.129|24559|US|arin |CSUNET-NE, US
pacwave.lax.routeviews.org|101|207.231.241.1|17948|US|arin |WASH-NSF-AS, US
pacwave.lax.routeviews.org|101|207.231.243.1|17948|US|arin |WASH-NSF-AS, US
pacwave.lax.routeviews.org|2153|207.231.246.1|24561|US|arin |CSUNET-NE, US
pacwave.lax.routeviews.org|2153|2001:504:b:20::129|29049|US|arin |CSUNET-NE, US
pacwave.lax.routeviews.org|101|2001:504:b:80::1|7456|US|arin |WASH-NSF-AS, US
pacwave.lax.routeviews.org|101|2001:504:b:81::1|7456|US|arin |WASH-NSF-AS, US
pacwave.lax.routeviews.org|2153|2001:504:b:90::1|30998|US|arin |CSUNET-NE, US
route-views.amsix.routeviews.org|8821|80.249.208.12|20|CH|ripencc|TELEZUG WWZ Telekom AG TELEZUG, CH
route-views.amsix.routeviews.org|1103|80.249.208.34|923157|NL|ripencc|SURFNET-NL SURFnet, The Netherlands, NL
route-views.amsix.routeviews.org|12859|80.249.208.35|916775|NL|ripencc|NL-BIT BIT BV, NL
route-views.amsix.routeviews.org|1140|80.249.208.49|550559|NL|ripencc|SIDN, NL
route-views.amsix.routeviews.org|1103|80.249.208.50|923157|NL|ripencc|SURFNET-NL SURFnet, The Netherlands, NL
route-views.amsix.routeviews.org|6830|80.249.208.106|913005|NL|ripencc|LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL
route-views.amsix.routeviews.org|24875|80.249.208.126|359|NL|ripencc|NOVOSERVE-AS, NL
route-views.amsix.routeviews.org|6667|80.249.208.127|488|FI|ripencc|EUNET-FINLAND, FI
route-views.amsix.routeviews.org|39591|80.249.208.152|914350|NL|ripencc|GLOBAL-E, NL
route-views.amsix.routeviews.org|49544|80.249.208.162|929895|NL|ripencc|I3DNET, NL
route-views.amsix.routeviews.org|12414|80.249.208.165|24|NL|ripencc|NL-SOLCON SOLCON, NL
