Peer IP,X,Y,ASN,Continent,Type,rrc
102.67.56.1,-1.3856418,-6.938033,328474,Africa,Cable/DSL/ISP,rrc00
103.102.5.1,-4.506293,-3.6348276,131477,Asia,Enterprise,rrc00
103.200.115.1,-1.052917,-5.4869657,64271,North America,Enterprise,
103.212.68.10,-16.001343,2.5208223,55720,Asia,Content,rrc00
104.218.61.163,-5.742639,-3.7435343,140984,Asia,Not Disclosed,
104.244.75.140,-15.996513,9.584911,140731,Asia,Educational/Research,rrc25
109.248.43.5,10.629191,3.022272,202297,Europe,NSP,rrc00
12.0.1.63,-27.375402,12.320808,7018,North America,NSP,rrc00
130.117.255.1,-29.64725,11.797601,174,North America,NSP,rrc25
138.122.60.1,-19.11341,5.4733257,61573,South America,NSP,rrc24
147.75.35.135,1.2188709,2.3389227,34553,North America,Educational/Research,rrc00
154.11.12.212,-24.055475,11.11879,852,North America,NSP,rrc00
154.11.15.28,-24.042454,11.113025,852,North America,NSP,rrc24
161.129.152.2,-8.268812,-0.56098074,13830,North America,Content,rrc00
165.16.221.66,-16.15476,-13.420517,37721,Africa,Cable/DSL/ISP,rrc00
165.254.255.2,-6.7217503,0.3187501,15562,Europe,Educational/Research,rrc00
168.195.130.2,11.027221,3.7004452,263702,South America,Enterprise,rrc24
168.195.131.1,-7.0574393,0.7330587,263702,South America,Enterprise,rrc24
176.12.110.8,-21.036451,2.8027449,50300,Europe,NSP,rrc00
177.221.140.1,-0.77896905,-5.304863,270014,South America,Cable/DSL/ISP,rrc24
178.208.11.4,-17.964052,3.8579137,50628,Europe,NSP,rrc00
185.115.244.25,-12.552111,4.7196727,28824,Europe,NSP,rrc25
185.138.53.0,-8.052589,-3.6504402,48821,Europe,Content,
185.142.156.156,16.354633,3.3994782,48147,Asia,Content,rrc00
185.152.34.255,1.130652,4.131044,61292,Europe,NSP,rrc00
185.181.60.126,1.6049316,4.6052666,207564,Europe,Educational/Research,rrc00
185.193.84.191,-2.4140863,-5.8749685,29504,Europe,Non-Profit,rrc00
185.197.132.7,-20.42,-1.053189,206313,Europe,Non-Profit,
185.210.224.254,-4.9353123,-2.5828,49432,Europe,NSP,rrc00
185.218.193.138,3.5709424,52.043484,211722,Europe,Non-Profit,rrc25
185.223.213.254,-2.9154978,-4.385446,47251,Europe,Enterprise,rrc00
187.16.208.144,-32.98457,6.6995716,24482,Asia,NSP,rrc15
187.16.210.177,-1.3902444,-5.5599694,52814,South America,Cable/DSL/ISP,rrc15
187.16.210.50,-1.8068409,-5.8833046,61595,South America,NSP,rrc15
187.16.216.102,-6.5495567,1.1520692,53070,South America,NSP,rrc15
187.16.216.121,-6.5040126,1.213758,42473,Europe,Content,rrc15
187.16.216.127,6.299623,51.05265,25933,South America,NSP,rrc15
187.16.216.131,-6.8035192,2.0039659,28634,South America,Cable/DSL/ISP,rrc15
187.16.216.20,4.8041315,53.976513,28571,South America,Educational/Research,rrc15
187.16.216.209,-6.809765,2.0154493,28634,South America,Cable/DSL/ISP,rrc15
187.16.216.219,1.9323651,7.4033246,14840,South America,NSP,rrc15
187.16.217.110,-24.475178,9.583878,23106,South America,NSP,rrc15
187.16.217.161,-32.26427,8.74366,13786,North America,NSP,rrc15
187.16.217.17,-18.612392,5.1407347,22548,South America,Non-Profit,rrc15
187.16.217.186,-32.82199,7.059407,1828,North America,Enterprise,rrc15
187.16.217.238,12.510701,2.6385186,7195,South America,Content,rrc15
187.16.217.27,16.654045,3.479362,28329,South America,NSP,rrc15
187.16.217.48,-24.266304,10.344096,16735,South America,NSP,rrc15
187.16.217.59,-24.473686,9.592179,23106,South America,NSP,rrc15
187.16.218.21,4.4431286,51.472748,52888,South America,Educational/Research,rrc15
187.16.219.162,-11.417759,3.988969,52863,South America,Content,rrc15
187.16.219.51,-28.224092,7.496242,28186,South America,NSP,rrc15
187.16.220.210,2.0235891,7.459456,263508,South America,Cable/DSL/ISP,rrc15
187.16.220.214,5.0682173,52.616158,53067,South America,Cable/DSL/ISP,
187.16.220.216,-6.275202,0.80252826,52873,South America,NSP,rrc15
187.16.220.80,-32.26048,8.80686,267613,South America,NSP,rrc15
187.16.221.193,16.270082,3.8220432,37468,Africa,NSP,rrc15
187.16.222.107,-2.7578924,-5.6054683,263152,South America,Cable/DSL/ISP,rrc15
187.16.222.229,-18.594004,5.1287446,199524,Europe,Content,rrc15
187.16.222.45,-18.342121,4.8472757,263237,South America,,rrc15
187.16.223.117,7.130613,51.49572,262757,South America,Cable/DSL/ISP,rrc15
187.16.223.133,-28.221458,7.4976707,28186,South America,NSP,rrc15
187.16.223.214,3.4574354,54.174118,52871,South America,Cable/DSL/ISP,
189.126.8.1,11.122469,3.7014623,269956,South America,NSP,rrc24
190.210.113.192,3.6476169,53.19937,16814,South America,Cable/DSL/ISP,rrc24
192.65.185.119,2.342837,52.054058,21320,Europe,Educational/Research,rrc04
192.65.185.130,-26.373638,-2.1578085,559,Europe,Educational/Research,rrc04
192.65.185.137,6.367248,51.701324,3303,Europe,Cable/DSL/ISP,rrc04
192.65.185.140,-21.929983,9.234317,29222,Europe,Content,rrc04
192.65.185.142,-23.447407,-0.17769758,20932,Europe,Cable/DSL/ISP,rrc04
