ASN,is_bgptools_peer_v4,is_bgptools_peer_v6
400671,1,1
400587,1,1
396998,1,1
394414,1,1
328840,1,1
213392,1,1
212934,1,1
212855,1,1
212635,1,1
212123,1,1
212068,1,1
211722,1,1
211398,1,1
211024,1,1
210537,1,1
210532,1,1
210312,1,1
210152,1,1
210083,1,1
210000,1,1
209861,1,1
209768,1,1
209198,1,1
209022,1,1
208627,1,1
208563,1,1
208548,1,1
208431,1,1
208171,1,1
207960,1,1
207934,1,1
207616,1,1
207556,1,1
207036,1,1
205848,1,1
205479,1,1
205329,1,1
204867,1,1
204857,1,1
204059,1,1
203635,1,1
203458,1,1
203453,1,1
135063,1,1
64124,1,1
64073,1,1
62075,1,1
61138,1,1
59645,1,1
59238,1,1
58057,1,1
57777,1,1
57692,1,1
57050,1,1
56595,1,1
56457,1,1
55785,1,1
51519,1,1
50917,1,1
50842,1,1
50395,1,1
50391,1,1
50304,1,1
50156,1,1
50058,1,1
48070,1,1
47787,1,1
47753,1,1
47251,1,1
46997,1,1
44854,1,1
44684,1,1
44393,1,1
44103,1,1
44097,1,1
43099,1,1
42541,1,1
40994,1,1
39384,1,1
39122,1,1
38008,1,1
34927,1,1
34854,1,1
34553,1,1
34549,1,1
34019,1,1
33891,1,1
33185,1,1
26457,1,1
25291,1,1
20326,1,1
13786,1,1
13058,1,1
12859,1,1
11232,1,1
9136,1,1
9002,1,1
8767,1,1
8473,1,1
8426,1,1
8283,1,1
8218,1,1
7500,1,1
7195,1,1
7018,1,1
6830,1,1
6461,1,1
6140,1,1
2854,1,1
2848,1,1
2027,1,1
1403,1,1
1003,1,1
945,1,1
924,1,1
835,1,1
807,1,1
553,1,1
400442,1,0
329029,1,0
213234,0,1
213045,0,1
213021,0,1
212625,0,1
212294,0,1
212270,0,1
212232,0,1
212154,0,1
212125,0,1
212120,0,1
212112,0,1
211869,0,1
211685,0,1
211579,0,1
211390,0,1
211275,0,1
211153,0,1
210951,0,1
210925,0,1
210888,0,1
210667,1,0
210074,0,1
209718,0,1
209460,0,1
209419,0,1
209391,0,1
208612,1,0
207965,1,0
207781,0,1
207740,0,1
207613,0,1
206924,0,1
206271,0,1
206016,0,1
205531,0,1
205432,0,1
205102,0,1
204994,1,0
204882,0,1
204446,0,1
204345,0,1
204003,0,1
203979,0,1
203868,0,1
203619,0,1
203577,0,1
203528,0,1
203333,0,1
203314,0,1
203062,0,1
203024,0,1
202952,0,1
202905,0,1
202776,0,1
202585,0,1
202573,0,1
201971,1,0
199524,1,0
149500,0,1
147016,0,1
146961,1,0
142551,0,1
142280,0,1
139317,0,1
136557,1,0
134478,0,1
64445,1,0
62217,1,0
61423,1,0
60326,0,1
59715,1,0
57630,1,0
57406,0,1
56662,0,1
54041,0,1
52188,1,0
51392,1,0
51345,0,1
49752,0,1
48111,1,0
44570,0,1
35619,1,0
30999,1,0
25596,1,0
23428,0,1
22822,0,1
16970,1,0
15562,1,0
13009,1,0
9268,1,0
7480,0,1
3280,1,0
3170,1,0
917,1,0
