,AS_rank_rank,AS_rank_source,AS_rank_longitude,AS_rank_latitude,AS_rank_numberAsns,AS_rank_numberPrefixes,AS_rank_numberAddresses,AS_rank_total,AS_rank_customer,AS_rank_peer,AS_rank_provider,AS_rank_iso,AS_rank_continent,is_personal_AS,peeringDB_info_ratio,peeringDB_info_traffic,peeringDB_info_scope,peeringDB_info_type,peeringDB_info_prefixes4,peeringDB_info_prefixes6,peeringDB_policy_general,peeringDB_ix_count,peeringDB_fac_count,peeringDB_created,is_in_peeringDB,AS_hegemony,nb_atlas_probes_v4,nb_atlas_probes_v6,nb_atlas_anchors,is_ris_peer_v4,is_ris_peer_v6,is_routeviews_peer,AS_rel_degree,cti_top,cti_origin,ASDB_C1L1,ASDB_C1L2
AS_rank_rank,1.0,0.33565524875352093,0.028496225792400055,-0.2797623981555011,-0.3003929934867536,-0.7216022463796364,-0.7676382116986405,-0.6451134007662579,-0.4450719055508093,-0.36614661724408304,-0.6342893314390665,0.39198397323479284,0.3279315242024735,0.037602985372621064,0.3710846588574506,-0.02580585312402323,0.36949634950429533,0.39243616859900826,-0.005088180189806451,0.006809989933275617,0.3584847852217969,-0.3277202896229219,-0.28907886298124497,0.5704623477522796,-0.3584861662338023,-0.03660912050277036,-0.06650540441785553,-0.04450429989433454,-0.05372373353854068,-0.09632097270460592,-0.08331959984121796,-0.07444819630853684,-0.13896045296881232,-0.04983018435889761,-0.20197716069443206,0.29079051734106864,0.29651643129645766
AS_rank_source,0.33565524875352093,1.0,0.7016141003135363,0.6515136359687513,0.2620453287040472,0.23408391571399464,0.3208538810493629,0.2864499784293083,0.11443435212479597,0.17841762797894153,0.31949250322368267,0.9871664047256744,0.9532123696537602,0.09409247520524187,0.12907235059684216,0.006001101292695369,0.3072194345650994,0.1409262076673034,0.01212027994597623,0.012950845874353084,0.1313211785705468,0.13696645317575545,0.09503050725545309,0.22850970720652608,0.2581082363684928,0.0114396906742235,0.03553283449853499,0.024322420404670704,0.026744649670670056,0.059391416895470596,0.050937482864269724,0.020981312106598943,0.05766512810404262,0.05623832048436593,0.1875718228795293,0.2443629069386939,0.1971041405172456
AS_rank_longitude,0.028496225792400055,0.7016141003135363,1.0,-0.10438614711892075,0.01445013914739287,-0.020125148341244403,-0.03893718238570175,-0.00591710460229285,0.018000554990891454,0.038644176466278775,-0.048568631835413115,0.7559107331050504,0.7091076232159818,0.0003650937032599975,0.04330690767324017,-0.0064161399256505965,0.29881674748723114,0.02491017572816533,0.0049186216779786695,0.00512073125368896,0.02662099142384501,0.06479092701837255,0.026824552516451317,0.513432457645266,0.02034353680947152,-0.006780468546728944,0.004065792821185903,-0.00012742239965347858,-0.002847580447571432,0.010183542673594875,0.009330635680363304,-0.006748035405309357,0.016309789321173614,0.01740248548448541,0.07198017249691928,0.11536721950396242,0.10551003955676527
AS_rank_latitude,-0.2797623981555011,0.6515136359687513,-0.10438614711892075,1.0,0.09139226877175065,0.2543536279948792,0.4769396826829474,0.3280533569836986,0.06954321142476463,0.08185854168255005,0.46783924277887046,0.7237042443120785,0.6745576243267863,-0.009463601133623585,0.09072330912545377,0.010653686620696693,0.2544782058091095,0.11890927618112601,-0.008300954062222725,-0.017941693225245248,0.061253807295320456,0.04406327353012333,0.09005281584508108,0.5398626651390017,-0.04049840329920453,0.015375328888533638,0.0407937463718293,0.028080377296934838,0.037799481382642136,0.04416854413566352,0.037962412211341515,0.00624196105042162,0.06258454560307046,-0.0018303868416024139,0.03161605097988878,0.20931139362939766,0.15772105516157411
AS_rank_numberAsns,-0.3003929934867536,0.2620453287040472,0.01445013914739287,0.09139226877175065,1.0,0.7006827797078662,0.4541885954600549,0.6389050309543354,0.9428752313576493,0.5154140811458094,0.32980352119976625,0.270204355822844,0.2582440722466123,-0.02056027034003791,0.367887461483895,0.13462659474284763,0.37006096188408777,0.434212490733077,0.09466727593888961,0.0741668357573062,0.37768135906525796,0.49106967772940113,0.48545290495359184,0.9144234986326985,0.33620068330046443,0.21280428037283772,0.20304968979072802,0.15381619730780244,0.10885786640916902,0.2584140934609746,0.2390156746860167,0.2334653497949613,0.42155909975966344,0.1656024710642678,0.3174050549238707,0.20391496078845703,0.23778170204083693
AS_rank_numberPrefixes,-0.7216022463796364,0.23408391571399464,-0.020125148341244403,0.2543536279948792,0.7006827797078662,1.0,0.8308805118941306,0.7796842972037392,0.7046562261089725,0.49244028127322564,0.6743652648641757,0.30087627429164415,0.22497213561797946,-0.04682388242760199,0.43662093848153216,0.0857063707024886,0.4363880872907877,0.47088083685581983,0.045644930597192046,0.029775459006663934,0.4350080474784203,0.4599436521076599,0.43134444037087677,0.767554291198787,0.41801257679463655,0.1284494434815696,0.14208093989252701,0.10061076458525103,0.09604491575844328,0.17817288562188335,0.16164685039156998,0.16378329318927504,0.28611506755400534,0.12142602204297719,0.34158456295736483,0.2998778461061661,0.33073129958062625
AS_rank_numberAddresses,-0.7676382116986405,0.3208538810493629,-0.03893718238570175,0.4769396826829474,0.4541885954600549,0.8308805118941306,1.0,0.7727197889273092,0.43933345904292004,0.37286874465235686,0.8453751259838669,0.4013653739365437,0.3099582411468075,-0.056557453850461695,0.3527148279508847,0.04270532094989543,0.34949666040830263,0.3745916134718314,0.01020885820936197,-0.004701689837372462,0.3443855887072181,0.3272897110987869,0.29812625978939955,0.5609714211101636,0.3405361771521236,0.06954681384219347,0.09370373415658273,0.06444310084075881,0.06352978375437632,0.11286535365238279,0.09762089000663096,0.0917088795270585,0.1722202055269225,0.06571200123841484,0.24155995912345077,0.31914508338655445,0.3146574990898284
AS_rank_total,-0.6451134007662579,0.2864499784293083,-0.00591710460229285,0.3280533569836986,0.6389050309543354,0.7796842972037392,0.7727197889273092,1.0,0.6463883560408475,0.8001362882728361,0.8077778105136817,0.35472440889161716,0.29095034707342243,-0.03119958478538012,0.512571354714603,0.08058328940396284,0.5187883356916075,0.5342629674632435,0.03762537264727488,0.025638504259714076,0.49824972481540436,0.6189560727895698,0.5340793119355814,0.8252600337756647,0.4841930834388103,0.10107929198249842,0.1394221718437169,0.10427511415089376,0.11204693373714379,0.2831652211287538,0.2552159632571456,0.21829175354481448,0.3876807827054942,0.0941805292539922,0.23035061028737777,0.27915646557904067,0.2862059453801262
AS_rank_customer,-0.4450719055508093,0.11443435212479597,0.018000554990891454,0.06954321142476463,0.9428752313576493,0.7046562261089725,0.43933345904292004,0.6463883560408475,1.0,0.5225476756748069,0.31449504260641525,0.1414023523248678,0.11080706310409083,-0.016050730674663383,0.3971340143541421,0.11043647331482027,0.3982225777559138,0.4572617342950248,0.0788108661240434,0.061502707583403655,0.3993060947676578,0.5028875145002503,0.4901821007667639,0.9224403965428573,0.3651051200710764,0.17360844187293198,0.19241965202918432,0.14143494703161594,0.10926337989260436,0.2392015759845612,0.2209006581805381,0.21281462008257607,0.38441757754377265,0.14825400931725236,0.3244186788856559,0.20787812642190287,0.24781122130135855
AS_rank_peer,-0.36614661724408304,0.17841762797894153,0.038644176466278775,0.08185854168255005,0.5154140811458094,0.49244028127322564,0.37286874465235686,0.8001362882728361,0.5225476756748069,1.0,0.37628994999745574,0.28141557527311906,0.1975295208714869,-0.0012108244643708691,0.5144991308642711,0.07773829931549439,0.5360575569949226,0.5300725517478398,0.04215545667471306,0.038216082444136705,0.48820969537709474,0.710803523034032,0.5835066459103458,0.949359340477392,0.46956833309743234,0.08084478198592193,0.13468706785645004,0.10652986271925373,0.12136905793861055,0.34716077987466365,0.31220393132624746,0.26115890673677233,0.43954032115228264,0.07591244575208222,0.1643647252966797,0.2001879936677972,0.23430502564205197
