,0,1,2,3,4,5,6,7,8,9
0,9607,4528,59622,52362,5078,31404,60409,803,56099,26347
1,53755,327724,17623,104,135478,7727,45935,46690,199256,6453
2,41871,28885,15450,15964,3130,8529,46562,16296,204754,59128
3,37468,55824,53055,14383,39861,29222,34749,1109,27928,61297
4,48112,37136,41966,63771,207790,42970,41771,11051,24634,14618
5,48804,134697,38008,13807,18534,202632,56566,197269,10364,15544
6,200031,42560,24642,49920,394972,31169,134351,60016,53488,206287
7,60016,49169,51392,39273,63473,9329,30741,11427,4128,132245
8,6128,202454,2500,55990,138466,23481,9607,10310,20776,34757
9,42685,199758,205891,208854,49824,8953,23855,47727,205344,57342
10,198095,2018,208329,208905,63774,9067,13969,15566,18822,202652
11,17948,44914,48275,35518,35456,43566,133661,24764,47110,36351
12,54858,50998,36352,20001,35263,24909,328049,37061,48327,49711
13,33819,12764,31337,201396,5524,22342,7679,51044,29550,4787
14,39767,44684,207825,12222,34749,24164,200030,5087,28742,12969
15,62445,47295,7690,395354,3267,12539,39216,265721,30836,28875
16,217,213151,50418,8982,201773,15366,38968,31633,8470,212815
17,135421,51810,15456,8248,10131,17210,34081,207439,48585,33984
18,327813,12941,11215,28728,8781,205588,202077,2519,2818,8763
19,205678,22894,201366,197288,15994,2614,57777,50324,61399,132796
20,201011,557,1880,47330,42968,42557,203315,16360,28878,203352
21,48289,25091,29067,197357,200590,8437,197650,206339,21396,137818
22,21283,8412,58273,14988,42760,57943,5397,43826,9044,208041
23,35348,43350,205679,47698,8151,35382,35714,35559,45475,208425
24,199399,207300,204279,38195,34410,28891,31069,8374,56611,8245
25,55430,3605,42673,41676,20766,30782,25428,198203,209974,37520
26,60350,12824,28742,13331,15372,47381,51395,3245,24909,41897
27,6849,35401,136972,31069,31655,134285,12301,34878,15556,42953
28,21334,35224,15594,34781,8339,21385,13489,37577,2108,204232
29,7303,51255,265662,20783,62310,48166,1734,60893,44691,39857
30,39007,34347,210104,42612,202463,210036,8386,42707,263779,47447
31,50550,207934,15493,51776,12668,29037,24971,13000,57675,27901
32,133661,42953,4773,39257,49371,55805,559,205028,49981,1200
33,204957,15547,29114,12360,48379,28738,197095,24956,60781,21299
34,15743,49036,42831,62225,204671,3265,1221,12637,62105,265721
35,8581,61169,15502,5467,41653,6407,21473,43127,206718,16814
36,30886,35179,31642,8615,208942,45204,60258,35754,16509,44158
37,15954,22927,207423,9105,61094,3226,49377,30962,43097,31138
38,11845,43655,51728,57734,58308,51873,202288,56300,9050,61044
39,133658,52063,513,3303,2614,21453,35323,205934,43561,15366
40,207841,41164,25509,49866,5607,30781,39069,39790,56635,43019
41,197572,12620,46562,41897,43205,6677,39837,29067,13178,43081
42,207934,38064,210,24589,201270,7590,12618,31725,35263,45204
43,201499,6849,30997,44600,49784,39651,15798,16300,209620,41798
44,3245,15964,63848,44124,35348,1246,48670,58291,29413,239
45,328262,15557,212865,20634,44507,12695,44158,51862,5413,3663
46,48152,39637,5786,31514,39257,33837,13101,13041,51935,206066
47,15782,47438,34574,8400,35065,63770,39384,206610,39927,39699
48,31027,12912,25394,203687,9166,50716,47217,48417,50710,58057
49,24725,20971,8839,28681,12360,6597,20523,203432,199399,39087
50,35734,11845,30298,8473,199389,61174,5378,198228,50446,24691
51,48969,7303,31034,28788,30889,42610,60893,204279,17456,15683
52,48747,208590,39522,212934,39648,6724,205678,9471,12611,41090
53,50178,57044,44673,5518,62040,31898,30889,212865,35401,25668
54,3215,15962,42819,12695,30784,3262,263779,37578,60213,378
55,27364,27790,12611,43939,3301,62371,199103,12119,3209,16316
56,48957,15673,27831,25291,62336,12931,51815,48670,27668,31029
57,28785,43437,24603,199128,202562,39494,42669,44539,24603,8331
58,2495,43289,20485,199652,28785,34087,199846,395611,15301,5603
59,2613,50550,4764,50585,398960,206268,206177,12312,34549,13728
60,40764,48139,35158,20676,213279,28109,6893,22773,10745,44297
61,14430,203817,204064,33922,42303,8262,205818,43366,21390,62371
62,855,26615,30781,47513,199610,200462,48166,15802,31257,21412
63,1955,35444,13925,63949,52694,52063,40788,8468,34056,60042
64,39405,21473,35362,264608,20900,4764,44097,45050,209915,5588
65,50673,41710,203432,27668,35640,25234,3216,203817,201822,3549
66,33363,28917,49472,47956,39756,52039,206845,3320,8749,52039
67,34574,8763,25512,1246,34393,25291,200675,52341,50668,43708
68,35426,263209,8764,30764,25133,9500,201499,8953,6799,52029
69,206177,49828,28878,5607,39790,50168,33363,12963,6327,33988
70,31272,7922,15108,29462,12768,16629,18534,29075,200434,5539
71,4755,56457,3320,6730,51943,45528,60162,47787,31337,5089
72,20626,198089,48386,12605,11427,25376,7992,10143,208725,31034
73,262239,44303,53184,15301,50163,15895,264605,51234,41075,35320
74,50163,203296,34187,29605,210218,58308,28972,395823,35179,13925
75,20880,31712,60149,13728,1547,49223,17948,197204,133982,20676
76,42065,43709,5563,5396,135760,34814,25229,198668,25180,197046
