,0,1,2,3,4,5,6,7,8,9
0,35352,212647,43847,9506,41937,197732,60798,197095,213151,39555
1,15456,136972,20804,43910,61102,8319,15830,8365,43317,29317
2,25478,8641,211552,30036,33922,49342,35000,8520,8916,25509
3,1955,50857,12555,8515,203231,12496,49931,207841,1200,35237
4,4589,35332,5738,48804,208332,50673,42541,34574,34244,56990
5,35158,12812,44034,202562,200460,206114,16086,206264,197318,40994
6,48972,20900,3249,5410,208069,2852,57219,60316,207841,60493
7,49601,64314,44365,201822,20810,3367,44431,29405,35393,210104
8,29605,207788,263779,201814,59970,12741,136393,34393,41931,45050
9,201838,2818,24904,9340,35007,208069,203352,212815,132905,200460
10,131749,206549,6453,48102,55536,63927,34587,206774,20001,17451
11,397412,20804,197695,196957,28891,61111,198068,63927,209987,197650
12,208422,57670,559,34960,19750,52212,51918,49734,31069,35530
13,15955,34758,28929,41364,12271,50277,201852,16637,206291,60707
14,31115,34410,28773,35913,28831,47232,35297,4181,16735,59414
15,198068,8758,198415,41897,198288,34911,25353,5397,208323,3262
16,198754,48089,25234,48943,57707,29449,198864,34743,59861,39767
17,13026,1739,9166,44002,198901,56630,197318,39608,37705,15699
18,8362,14988,29114,10620,7828,49037,12735,198385,39435,27411
19,134697,200155,29933,37457,13121,39560,51806,1886,5391,34911
20,264676,54869,197046,5578,37009,10620,209,7203,50446,43413
21,43132,48390,327821,13969,3367,62416,37640,213230,61169,327900
22,6752,200142,203752,264676,5576,2510,11525,43708,37537,15165
23,33097,40788,6400,35816,26167,53488,21565,208712,24642,11492
24,2381,33182,681,7506,200386,29069,48379,22894,57069,41437
25,43754,20776,12479,6360,200953,10796,278,200030,205775,21479
26,394972,11607,39699,719,139002,31841,41828,25381,8151,2381
27,31200,56649,49100,60609,39699,20798,199853,395089,5547,36444
28,11097,25184,7594,16322,16247,44045,6364,133612,15108,2527
29,22548,6739,48642,59908,201240,4,39650,59397,200334,39699
30,8427,2914,11097,132245,205645,34285,51255,23316,27,197207
31,34410,31200,33185,41843,33185,41668,8048,2698,206065,58698
32,61449,27901,8982,16796,42682,11664,24516,18126,270014,26615
33,18126,137120,136360,200334,137084,394972,139195,48289,56166,27660
34,8820,42676,22047,24560,237,24550,264679,52468,17948,12772
35,40029,53184,396878,57128,49404,197075,1257,50543,45355,49404
36,9069,2519,60840,12231,57254,27747,61343,9829,9600,24186
37,5468,399105,8248,59125,21500,202716,47438,12849,23031,41034
38,134341,8670,198561,263209,7684,51515,2514,51813,61399,8820
39,56017,766,134220,5408,27792,2107,15630,52322,11232,22047
40,198859,13331,264744,198524,5391,7684,15301,33185,5470,58322
41,8580,9245,202078,57722,48155,393886,3216,24909,59397,16629
42,264640,201270,9600,3216,63479,20055,203602,2107,56030,42922
43,399748,35592,14813,53166,13489,45475,132268,59494,201270,15344
44,263824,264640,58057,45475,14117,35567,58322,34553,264744,32
45,202536,62024,19171,202078,13055,50222,7418,24398,269923,17705
46,212934,269923,63771,42615,262239,262239,7506,41771,2485,24806
47,196843,53356,35592,22927,36959,262178,8580,27699,398447,21183
48,4755,15806,202536,15344,28545,399748,264811,158,201106,135760
49,24324,131269,135262,11404,13925,16019,19165,27725,196843,393522
50,33876,60304,39762,271354,134220,197706,204165,53356,209465,15964
51,14430,15964,7908,3329,54390,4755,15924,39790,131269,39762
52,37406,198208,15457,134325,3329,20794,9430,60471,47787,14430
53,44558,14430,37123,24768,134325,2860,42580,8220,263157,327707
54,1205,22355,4697,21859,20609,22884,37123,24309,30298,1853
55,17501,6720,1113,44558,199484,327707,263157,15964,37236,395823
56,13490,395214,134090,1853,17072,6720,1205,23481,12991,9443
57,45090,30607,64095,207002,24768,327844,398721,36909,4851,27883
58,17819,4851,140726,58473,25543,45828,37578,1853,131995,64095
59,132003,37074,577,135328,1853,38064,395954,2500,4812,37963
60,63770,131995,3243,4134,17306,17962,136994,131995,9367,38074
61,56030,17962,34878,2501,4,2504,38064,45090,211772,28109
62,3597,38635,27790,3597,134090,39891,17962,14754,19653,202329
63,28545,208854,396503,2128,56055,13728,208974,397168,135150,16796
64,396503,27790,37074,28545,37963,27790,27790,23181,3597,26347
65,13280,396503,60288,23181,2501,29614,37074,37074,13280,37074
66,37074,60288,17623,60288,271885,60288,60288,60288,26347,60288
67,60288,55960,28556,17623,54412,17623,17623,55960,29614,17623
68,28556,28556,36926,28512,25441,28556,28556,28512,60288,28556
69,7122,36926,37002,139331,60288,36926,7122,36926,55960,36926
70,36926,37002,45935,36926,55960,37002,36926,37002,28512,37002
71,37002,45935,39891,37002,28512,45935,37002,45935,36926,45935
72,45935,39891,7420,45935,36926,7420,45935,39891,37002,39891
73,39891,16509,10753,7420,37002,10753,39891,7420,45935,7420
74,7420,7420,42003,10753,45935,42003,7420,10753,7420,10753
75,10753,10753,135629,42003,39891,135629,10753,42003,10753,42003
76,42003,42003,8075,135629,7420,8075,42003,135629,42003,135629
77,135629,135629,23523,8075,10753,23523,135629,8075,135629,8075
78,8075,8075,7122,23523,42003,7122,8075,54412,8075,23523
79,23523,23523,62538,7122,135629,62538,22884,23523,23523,62538
80,62538,7122,56728,62538,8075,196621,23523,62538,7122,56728
81,196621,62538,196621,56728,23523,197269,62538,56728,62538,196621
82,210303,196621,197269,196621,62538,210303,56728,196621,196621,210303
83,51773,197269,210303,210303,196621,51773,196621,197269,210303,51773
84,199064,210303,51773,51773,210303,199064,210303,210303,51773,199064
85,199283,51773,199064,199064,51773,38926,51773,51773,199064,199283
86,31404,199064,199283,199283,199064,199283,199064,199064,199283,31404
87,199256,199283,31404,31404,199283,31404,199283,199283,31404,199256
88,133289,31404,199256,199256,31404,199256,31404,31404,199256,133289
89,4758,199256,133289,133289,199256,133289,199256,199256,133289,4758
90,139331,133289,4758,4758,133289,4758,133289,133289,4758,139331
91,41881,4758,139331,41881,4758,41881,4758,4758,139331,41881
92,18199,139331,41881,18199,41881,18199,41881,41881,41881,18199
93,48112,41881,18199,48112,18199,48112,18199,18199,18199,48112
94,35558,18199,48112,35558,48112,35558,48112,48112,48112,59504
95,25159,48112,35558,25159,35558,25159,35558,35558,35558,35558
96,39762,35558,25159,39762,25159,39762,25159,25159,25159,25159
97,19045,25159,19045,19045,19045,19045,19045,19045,19045,19045
98,26457,26457,26457,26457,26457,26457,26457,26457,26457,26457
99,396969,396969,396969,396969,396969,396969,396969,396969,396969,396969
100,21161,41710,134326,3352,31042,34772,44788,198183,20849,204151
101,31143,17551,47447,3221,203520,21385,206313,31143,61344,15763
102,8492,12539,31712,31017,20764,45025,28891,62365,12775,45009
103,197580,8228,23242,20764,35008,327813,28728,203315,39587,12847
104,44384,39686,6167,43081,20857,51088,43996,23242,44381,16353
105,207934,62371,38965,205617,199339,199339,42675,198203,20555,62105
106,15703,328411,8473,13193,39405,197357,15969,12324,12826,203380
107,197448,7713,39816,1653,32425,53006,204279,1967,41090,13000
108,39405,1653,56837,42717,62282,42968,37989,203556,35807,35661
109,31708,47227,57199,55350,200272,199758,13193,44141,63848,41753
110,4844,53755,10094,61094,132400,4800,59795,41753,14754,45102
111,3663,197572,56740,49223,50911,12570,41931,131743,197650,3269
112,204064,47678,61174,43284,210329,6703,42831,201281,198754,31148
113,39544,209137,47242,8265,11351,21466,1267,35369,39544,29286
114,21309,35371,52191,210118,20912,47727,30886,262792,6079,199811
115,34187,1836,41691,206339,25581,206548,31736,20912,28857,46562
116,197738,29355,203937,59789,57069,47242,8676,41018,50911,47956
117,37386,1764,199652,16246,1759,12591,59686,24689,7203,48155
118,201924,37154,21282,5006,57929,201430,50710,24889,56420,203432
119,7575,43708,803,37126,48683,8339,211398,198736,41897,197029
120,394380,16796,50971,196687,37513,36884,13830,201887,20545,25234
121,25381,57929,16637,34553,13807,48072,328162,395748,29321,42473
122,48846,13036,42729,18809,202042,4128,63318,204064,15022,46416
123,46416,26793,134521,34467,4685,4922,7018,56427,3927,11776
124,1289,393275,5739,12119,22122,50449,35401,394380,42000,25429
125,197207,11381,206404,299,5547,6167,2152,12430,57269,35804
126,30041,278,201587,2586,4771,40497,201240,35401,264676,11317
