,0,1,2,3,4,5,6,7,8,9
0,44217,44217,44217,44217,44217,44217,44217,44217,44217,44217
1,23242,35600,28854,51018,47589,29050,30041,5607,33922,199562
2,42673,42673,38064,42673,42673,12307,395954,395954,12307,42673
3,44176,44176,55536,44176,44176,395954,31424,31424,395954,44176
4,12307,12307,12307,12307,12307,211552,211552,211552,211552,12307
5,395954,395954,395954,395954,395954,4758,4758,4758,4758,395954
6,211552,211552,211552,211552,211552,199256,199256,11317,56728,211552
7,4758,4758,4758,4758,4758,11317,11317,196621,199256,4758
8,56728,56728,56728,56728,56728,196621,196621,36926,11317,56728
9,199256,199256,199256,199256,11317,36926,36926,23523,196621,199256
10,11317,11317,11317,11317,196621,23523,23523,18592,36926,11317
11,196621,196621,196621,196621,36926,18592,18592,8522,23523,196621
12,36926,36926,36926,36926,23523,8522,8522,7420,18592,36926
13,23523,23523,23523,23523,18592,7420,7420,133289,8522,23523
14,18592,18592,18592,18592,8522,133289,133289,17488,133289,18592
15,8522,8522,8522,8522,7420,17488,17488,18734,17488,8522
16,7420,7420,7420,7420,133289,18734,18734,8075,18734,7420
17,133289,133289,133289,133289,17488,8075,31798,31798,8075,133289
18,17488,17488,17488,17488,18734,31798,211398,211398,31798,17488
19,18734,18734,18734,18734,8075,211398,199064,199064,211398,18734
20,8075,8075,8075,8075,31798,199064,42003,42003,199064,8075
21,31798,31798,31798,31798,211398,42003,41881,41881,42003,31798
22,211398,211398,211398,211398,199064,41881,28556,28556,41881,211398
23,199064,199064,199064,199064,42003,28556,31404,31404,28556,199064
24,42003,42003,42003,42003,41881,31404,18199,18199,31404,42003
25,41881,41881,41881,41881,28556,18199,208814,208814,18199,41881
26,28556,28556,28556,28556,31404,208814,25159,25159,208814,28556
27,31404,31404,31404,31404,18199,25159,59504,59504,25159,31404
28,18199,18199,18199,18199,208814,39891,39891,39891,39891,18199
29,208814,208814,208814,208814,25159,48112,48112,48112,48112,208814
30,25159,25159,25159,25159,39891,39762,39762,39762,39762,25159
31,39891,39891,39891,39891,48112,35558,8075,35558,35558,39891
32,48112,48112,48112,48112,39762,51773,35558,51773,51773,48112
33,39762,39762,39762,39762,35558,10753,51773,4809,10753,39762
34,35558,35558,35558,35558,51773,59504,10753,60983,135629,35558
35,51773,51773,51773,51773,10753,135629,197269,135629,132400,51773
36,10753,10753,10753,10753,59504,132400,4809,197269,197269,10753
37,59504,59504,59504,59504,135629,37002,60983,10753,37002,59504
38,135629,135629,135629,135629,132400,38926,45935,37002,38926,135629
39,132400,132400,132400,132400,197269,4809,37002,132400,59504,132400
40,197269,197269,37002,197269,37002,28512,38926,28512,4809,197269
41,37002,37002,38926,37002,38926,29614,28512,45935,28512,37002
42,38926,38926,4809,38926,4809,396969,132400,29614,7420,38926
43,4809,4809,28512,4809,28512,210303,135629,396969,29614,4809
44,28512,28512,29614,28512,29614,45935,29614,210303,197164,28512
45,29614,29614,197164,29614,197164,14618,12684,139331,396969,29614
46,197164,197164,396969,197164,396969,56728,197164,199256,210303,197164
47,396969,396969,210303,396969,199256,197269,396969,38926,60983,396969
48,210303,210303,60983,210303,210303,22122,210303,12684,45935,210303
49,45935,45935,197269,45935,45935,199283,56728,22122,14618,45935
50,60983,60983,22122,60983,22122,7122,14618,45102,22122,60983
51,14618,22122,8636,14618,45102,45102,22122,56728,199283,22122
52,22122,45102,199283,22122,199283,139331,8636,8636,7122,199283
53,199283,199283,45102,199283,14618,8636,199283,14618,45102,45102
54,45102,14618,7122,45102,139331,54412,7122,7122,139331,7122
