,0,1,2,3,4,5,6,7,8,9
0,44217,44217,44217,44217,44217,44217,44217,44217,44217,44217
1,47377,47377,47377,47377,47377,47377,47377,47377,47377,47377
2,31424,31424,31424,31424,31424,31424,31424,31424,31424,31424
3,8916,8916,8916,8916,8916,8916,8916,8916,8916,8916
4,37002,37002,37002,37002,37002,37002,37002,37002,37002,37002
5,31798,31798,31798,31798,31798,31798,31798,31798,31798,31798
6,8522,8522,8522,8522,8522,8522,8522,8522,8522,8522
7,48112,48112,48112,48112,48112,48112,48112,48112,48112,48112
8,18199,18199,18199,18199,18199,18199,18199,18199,18199,18199
9,45935,45935,45935,45935,45935,45935,45935,45935,45935,45935
10,25159,25159,25159,25159,25159,25159,25159,25159,25159,25159
11,36926,36926,36926,36926,36926,36926,36926,36926,36926,36926
12,199283,199283,199283,199283,199283,199283,199283,199283,199283,199283
13,14618,14618,14618,14618,14618,14618,14618,14618,14618,14618
14,20794,20794,20794,20794,20794,20794,20794,20794,20794,20794
15,24806,24806,24806,24806,24806,24806,24806,24806,24806,24806
16,4538,4538,4538,4538,4538,4538,4538,4538,4538,4538
17,7420,7420,7420,7420,7420,7420,7420,7420,7420,7420
18,59504,59504,59504,59504,59504,59504,59504,59504,59504,59504
19,60288,60288,60288,60288,60288,60288,60288,60288,60288,60288
20,35518,35518,35518,35518,35518,35518,35518,35518,35518,35518
21,9340,9340,9340,9340,9340,9340,9340,9340,9340,9340
22,35558,35558,35558,35558,35558,35558,35558,35558,35558,35558
23,37074,37074,37074,37074,37074,37074,37074,37074,37074,37074
24,27678,27678,27678,27678,27678,27678,27678,27678,27678,27678
25,6058,6058,6058,6058,6058,6058,6058,6058,6058,6058
26,25538,25538,25538,25538,25538,25538,25538,25538,25538,25538
27,9498,9498,9498,9498,9498,9498,9498,9498,9498,9498
28,681,681,681,681,681,681,681,681,681,681
29,34688,34688,34688,34688,34688,34688,34688,34688,34688,34688
30,45011,45011,45011,45011,45011,45011,45011,45011,45011,45011
31,199256,199256,199256,199256,199256,199256,199256,199256,199256,199256
