,0,1,2,3,4,5,6,7,8,9
0,37519,29518,205961,513,60304,4800,12302,49465,41494,203556
1,42885,13000,203228,12593,9067,8865,8937,202208,20773,42393
2,45906,20001,33080,20926,138398,30983,10242,43081,37390,395823
3,18126,397142,20135,8053,42442,39422,134090,9607,20776,6905
4,13041,25310,50999,1836,23316,3215,43561,37680,206404,202870
5,21283,200567,15744,41589,198471,36817,62000,8879,41009,36492
6,12768,57631,200675,6667,48481,201557,15930,51892,50288,201701
7,43507,19397,17523,50266,62173,46997,13331,131627,15962,59861
8,1955,43413,15962,43542,44712,20676,57069,44712,13188,57707
9,135887,42610,24689,62538,25159,28972,44244,8708,25159,34779
10,25061,17451,199289,62098,8581,208905,196957,14383,20953,25885
11,200272,3212,44375,57971,31549,202562,35323,20634,200862,31204
12,37386,4608,7247,21699,46997,395075,6597,42227,7828,62513
13,132933,45528,27879,13969,8315,48362,17210,134090,9318,7727
14,47794,201290,47524,206313,6510,202583,21283,51018,50710,15796
15,60149,59752,201213,2914,210218,14117,37611,49560,44973,212934
16,51604,61400,209456,13118,35754,3226,8985,50448,31323,5409
17,15962,14949,36909,15895,20473,328358,51773,7514,42000,30784
18,56478,199298,34911,5610,28851,35612,50163,197029,60840,197318
19,9367,2119,56478,16796,9367,28725,13188,43754,2514,35612
20,48585,34245,34622,20657,49902,6720,206006,205976,43910,42038
21,16095,42717,199995,211321,48275,1257,52000,6789,5413,62418
22,327844,4528,4128,3605,31693,30844,7594,786,21699,4787
23,137257,45797,264640,11994,201860,49560,45828,14117,39861,267685
24,12586,8676,18106,61438,39861,57752,201860,29605,8676,51155
25,13246,44285,205112,41354,4713,262239,5377,39351,21127,271885
26,31200,201557,58067,12768,57571,49828,48511,50473,49866,15743
27,50971,264605,201686,1241,39310,10753,35558,7420,39392,50512
28,12859,28972,44002,25192,43413,13045,29504,50971,20880,56427
29,10753,8402,203329,10753,18199,52130,199853,13188,199283,13188
30,35432,39923,37640,15544,16010,134521,44369,3208,57370,1653
31,6866,56433,6849,49403,204994,41696,24837,15516,42393,204564
32,133802,46293,398960,22342,10098,45170,30983,55824,30475,46375
33,23969,21565,27833,27770,48359,34984,8075,37705,55350,18126
34,20965,13280,8311,48943,197269,12496,8339,44788,202196,5377
35,12963,212567,1836,56478,3243,327900,59689,31317,42442,203432
36,49037,28738,49893,48276,25513,58067,15886,56791,208627,35141
37,25234,2510,22355,20904,50266,35558,44651,217,198161,24680
38,34187,199803,25424,42908,25512,15704,205535,62099,62173,48661
39,37002,8764,13188,25429,2552,25512,12859,41998,17506,199853
