,0,1,2,3,4,5,6,7,8,9
0,23661,52322,137818,35913,38008,26457,27879,6510,33876,37645
1,27272,60983,10010,209198,327900,45638,13335,59504,211960,24550
2,35266,32329,23881,327707,44651,41090,5786,395089,7029,396190
3,63311,59970,50979,21176,52063,12849,51685,327821,16141,60309
4,199554,21173,205220,22342,28857,22342,30962,207002,14453,206006
5,9735,205938,263779,21479,51813,211613,41435,12539,50012,39568
6,53169,60022,133136,29624,43957,14988,39673,8905,20971,12508
7,134326,49377,52191,34590,6597,43749,9008,34568,8220,17676
8,200434,17934,207803,47420,35297,203512,45942,58322,57254,2852
9,34867,35361,12353,31213,5479,21246,34622,6720,31543,25486
10,41495,49866,57044,42781,42885,57154,34156,39837,16010,51728
11,44507,50168,2108,33983,47794,201367,12400,27017,201080,559
12,13331,21211,203201,198930,41009,35754,44257,327813,206549,21131
13,15754,13101,15704,41695,14061,559,210218,58224,12346,35804
14,206509,35600,44941,2107,3221,35833,60351,48747,12543,42707
15,56357,47331,29119,8308,31323,209,21700,49866,51604,60111
16,1547,42065,201333,15600,6327,34533,8560,202196,8422,3269
17,20880,12757,42387,20848,50473,14522,59702,203296,35754,44257
18,44539,58057,58057,12773,20473,20845,3326,39608,15669,15844
19,198977,50825,57728,60840,42189,42306,206177,47232,42189,200114
20,23862,2488,7753,27411,196843,399105,11994,209198,278,28186
21,39861,31404,17222,50226,32890,10010,12847,8075,203591,1916
22,212972,328114,30892,11814,33363,37611,5738,2907,37537,2698
23,20794,208422,396362,34410,206062,199244,25408,25180,206637,12276
24,9829,42729,60833,327831,33771,262792,17451,49642,208422,29317
25,47237,8937,62000,134697,59686,8330,198225,206065,59676,47727
26,49367,200043,5576,200801,39555,55569,206339,60016,47286,49719
27,8374,44512,41653,44381,199993,56535,12576,49100,28905,12271
28,12620,135150,16331,50446,48453,196655,10474,58220,35348,2607
29,2485,12741,31078,9085,42038,49404,47623,35600,43406,25415
30,2107,15798,204052,201366,51309,34984,50673,51483,135132,8194
31,43826,8308,20612,12605,5602,39775,48417,21050,7922,12731
32,16409,24680,42885,48972,9050,12303,34224,199610,48147,12392
33,8515,39310,60810,61174,43341,8391,43950,62113,31257,43478
34,197696,5391,29069,50012,49808,28681,14061,29119,34568,12552
35,24482,51018,199853,202040,8416,1136,55002,48670,42708,42622
36,34288,42337,6830,51873,30781,48481,21412,5607,58057,1836
37,9050,29124,50512,15930,8985,199652,48481,56791,16302,33885
38,44941,8764,8402,25406,41998,20880,8881,61157,47678,44303
39,197046,62099,196687,12714,206420,5610,47232,206548,13036,42306
40,56017,198507,40098,399924,31143,38008,4750,8636,43019,50818
41,9318,208808,19653,395853,2488,203585,199283,49855,51773,197732
42,15547,11215,199562,9430,52285,13046,23655,16,16,209864
43,202042,134944,61297,24764,202940,12571,9111,5505,61215,198167
44,44297,198864,48289,37090,20811,7727,197580,58340,264679,43847
45,59686,207995,58431,9111,50289,31472,35237,28130,20769,209987
46,57254,61044,209040,198657,47132,264605,16375,198415,199803,31337
47,8648,196655,15589,44574,3450,202605,327798,56647,21466,49404
48,13194,138466,136360,135150,205515,42695,12271,35263,50030,13127
49,34244,29695,25106,29484,48284,6697,35369,41090,57469,207300
50,199159,199860,12923,29695,48359,9085,62173,41096,51458,57353
51,29081,34549,15169,47524,786,202870,196616,4538,42831,57963
52,10143,42673,3226,39392,51792,42610,24603,4764,59715,48200
53,51892,48683,34984,204279,47116,25291,39837,34605,13118,51309
54,3245,41090,24921,197564,49724,48217,42541,197095,8445,15493
55,6659,33988,30889,9158,44769,25596,39533,44769,51935,44244
56,9198,15474,20900,15744,39686,57571,12676,2200,39608,7922
57,28685,15886,21453,57571,49673,398355,41798,31214,12668,3327
58,29069,2119,56639,50911,20845,29314,3320,12714,51468,20676
59,199298,206177,204064,199524,208712,35592,48661,34911,29134,57069
60,134877,64314,199652,26457,39587,14618,26046,39273,64314,27668
61,395662,133289,27790,43019,9161,61337,48979,131269,394380,10881
62,12083,37520,21021,11051,201686,24757,17456,40788,1916,41881
63,58473,198288,135262,25455,8890,47165,8167,48685,9135,8551
64,203478,15540,60610,39522,49902,17819,133661,50857,208332,29286
65,210104,3246,53356,41620,5578,51960,59665,56990,207841,21017
66,30793,11845,198507,8194,33984,11193,56912,197448,197252,9135
67,34559,38965,37532,199551,27678,205515,61044,15673,50710,52336
68,48200,4773,38968,14291,24722,8615,46309,20565,203602,766
69,15605,12668,207934,25234,30823,13127,204467,20965,205645,24589
70,25441,197095,12316,9067,202975,203953,50810,196948,12271,204052
71,198089,35003,50178,8953,196745,57503,205493,57119,4764,24971
72,12826,29413,28891,47232,1140,41682,20555,30798,60396,59414
73,28891,34953,198161,201333,25255,9158,3245,31510,29580,197078
74,199610,199181,43132,60924,43754,1241,200567,43341,59507,59441
75,57497,2860,1241,206186,48848,8220,39029,60415,50163,50512
76,41405,8262,30781,24679,34119,31323,6667,199389,15895,9070
77,15626,203296,44673,12695,3327,33182,44417,48089,51349,35258
78,62360,20676,8767,50668,31042,8402,33915,8402,6730,39608
79,13036,31349,43413,56478,50825,202618,25234,31246,202618,198977
80,199283,27747,5483,3816,38074,15751,397142,39616,53006,14773
81,24634,48635,203585,7690,43019,7690,200272,16796,213230,7575
82,37611,9186,34594,18196,2907,39093,262178,395611,18121,208448
83,29032,17210,49465,15456,35362,8248,210025,42557,39273,12496
84,20609,15516,43380,44384,44297,63318,198864,47237,197451,35456
85,14371,48453,7828,209987,25135,397990,42298,205479,35362,211613
86,9182,16247,207036,41153,29287,27678,36884,16331,39289,50858
87,204332,47869,34385,6846,57119,198657,34781,38949,15987,11404
88,31242,1111,29008,62416,55805,38965,27017,6752,205679,3301
89,204151,5396,47408,48154,1835,199071,197975,29056,20561,44512
90,39534,28748,196610,12816,57503,44124,20504,51088,4128,204274
91,43754,200462,3257,8823,2857,47992,47155,14949,31708,35065
92,207841,39087,12793,204151,8422,16316,41034,42831,51859,5391
93,13000,42313,62429,43142,200567,39650,1136,50469,6789,15516
94,56329,15038,51815,57187,49037,8587,22773,29580,42819,25515
95,62310,202422,25521,30798,33837,41364,39878,51836,50316,39007
96,48362,49100,41589,1241,8228,28917,44050,12586,33915,20912
97,198570,29069,20910,15493,20904,7828,34123,41682,8728,58067
98,31214,20845,8866,24638,1955,15895,719,8764,56740,28725
99,196687,50163,199298,20764,198668,21430,196687,199298,200155,202618
100,48390,28768,7470,9905,197765,23523,397412,48918,9367,17962
101,37420,23862,29399,327687,19693,54594,51132,206813,48635,23655
102,52063,15088,25353,45906,7727,207841,31727,557,11051,17552
103,28768,12110,60976,202898,30971,203478,29355,200836,12423,198722
104,34660,60049,8167,37390,30793,137818,48379,135377,198288,197692
105,60631,31017,61138,205976,8580,205893,29100,49601,2107,205588
106,206339,24757,42675,25184,16141,265721,20755,210278,43197,41103
107,62432,16322,327821,25135,394256,8559,205818,11664,13127,57695
108,15744,35559,8265,395823,28876,205813,855,58079,15974,12353
109,1835,30823,56357,44096,1820,34347,202032,2516,49402,8580
110,56910,12552,205934,33980,43016,42442,50512,204652,56055,35598
111,8311,39138,39351,47697,9146,35067,34594,36444,14988,205678
112,264811,20750,47217,12741,29208,203296,6805,209097,34927,58079
113,59908,21263,42148,199610,47678,16004,41589,61438,43826,58243
114,2611,8468,21282,210036,15725,34087,62275,8339,35613,201211
115,42263,50710,29512,39138,61111,2860,852,199103,205206,39087
116,6667,20810,8676,8866,201333,48166,41405,5378,8708,48683
117,25229,57843,48848,33991,51035,203432,50288,31514,35807,56791
118,3216,12714,44303,41843,20764,1901,12714,2119,196890,42473
119,198668,29504,25248,15895,62099,35046,204064,12767,206420,31246
120,38008,59128,50195,212815,16360,210303,2549,11381,42689,41652
121,33582,8522,12629,206594,42298,60471,37136,30633,64073,6181
122,37100,17506,8253,327750,1246,15399,17819,34760,17639,17623
123,681,60609,139331,49375,12324,7713,60042,12849,48685,11776
124,158,208905,18209,4616,47283,327859,202716,9735,10364,47891
125,50937,203817,204092,48282,43408,63473,198330,206339,16591,197892
126,11492,327798,33771,25428,200409,9146,203602,207375,47692,44691
127,13110,205028,199516,34559,13925,20755,6752,47589,28773,396982
128,44417,37578,59686,394256,8520,8580,37578,16247,207995,30823
129,24921,5567,6866,6703,43571,12361,35046,8271,21183,5385
130,20612,39216,200142,12400,41723,47623,48149,35432,61135,198611
131,50667,13041,61174,31317,60798,15754,35361,9790,35540,12676
132,2495,62282,50810,12874,12312,20694,9145,41495,56550,8315
133,43478,12874,13000,378,16668,3257,786,34019,197467,43320
134,15133,13009,62360,25365,200862,14061,47116,34953,44053,1200
135,48386,39392,15669,5539,199150,2856,45014,196847,29086,44507
136,8893,206313,8820,48200,210218,199860,34288,5089,3326,16342
137,20764,31514,13194,8416,9198,15964,25381,57843,25133,3249
138,31514,42473,25291,59494,1901,12322,61157,29314,42652,13045
139,44489,206548,48661,25192,57069,200155,29321,35592,25248,12767
140,207790,3597,9506,132400,32181,203698,39273,2500,11525,393552
