,0,1,2,3,4,5,6,7,8,9
0,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494
1,1000245,54637,52018,55115,55390,1119,35739,19848,16970,25329
2,1003031,19803,55288,55288,1003031,19803,55288,55288,19803,55288
3,1003150,55288,1003031,1003031,1003150,55288,50586,50586,55288,50586
4,1003185,50586,1003150,1003150,1003185,50586,1003031,1003031,50586,1003031
5,1003272,1003031,1003185,1003185,1003272,1003031,1003150,1003150,1003031,1003150
6,54668,1003150,1003272,1003272,54668,1003150,1003185,1003185,1003150,1003185
7,13378,1003185,54668,54668,13378,1003185,1003272,1003272,1003185,1003272
8,1002805,1003272,13378,13378,1002805,1003272,54668,54668,1003272,54668
9,1002655,54668,1002805,1002805,1002655,54668,1002805,1002805,54668,1002805
10,33237,1002805,1002655,1002655,33237,1002805,1002655,1002655,1002805,1002655
11,1003275,1002655,33237,33237,1003275,1002655,33237,33237,1002655,33237
12,1003276,33237,1003275,1003275,1003276,33237,1003275,1003275,33237,1003275
13,6833,1003275,1003276,1003276,6833,1003275,1003276,1003276,1003275,1003276
14,55677,1003276,6833,6833,55677,1003276,6833,6833,1003276,6833
15,1000820,6833,55677,55677,1000820,6833,55677,55677,6833,55677
16,20452,55677,1000820,1000820,20452,55677,1000820,1000820,55677,1000820
17,29651,1000820,20452,20452,29651,1000820,20452,20452,1000820,20452
18,15817,20452,29651,29651,15817,20452,29651,29651,20452,29651
19,19994,29651,15817,15817,19994,29651,15817,15817,29651,15817
20,52786,15817,19994,19994,52786,15817,19994,19994,15817,19994
21,54799,19994,52786,52786,54799,19994,52786,52786,19994,52786
22,21733,52786,54799,54799,21733,52786,54799,54799,52786,54799
23,1000782,54799,21733,21733,1000782,54799,21733,21733,54799,21733
24,14614,21733,1000782,1000782,14614,21733,1000782,1000782,21733,1000782
25,14502,1000782,14614,14614,14502,1000782,14614,14614,1000782,14614
26,1002880,14614,14502,14502,1002880,14614,14502,14502,14614,14502
27,4766,14502,1002880,1002880,12461,14502,1002880,1002880,14502,1002880
28,55558,1002880,12461,4766,4766,1002880,12461,4766,1002880,4766
29,50294,12461,4766,55558,55558,12461,4766,55558,12461,55558
30,1001863,4766,55558,53788,53788,4766,55558,53788,4766,53788
31,22712,55558,53788,50294,50294,55558,53788,50294,55558,50294
32,53870,53788,50294,1001863,1001863,53788,50294,1001863,53788,1001863
33,1000787,50294,1001863,53870,22712,50294,1001863,53870,50294,53870
34,1000504,1001863,53870,1000787,53870,1001863,53870,1000787,1001863,1000787
35,33213,53870,1000787,1000504,1000787,53870,1000787,1000504,53870,1000504
36,52235,1000787,1000504,33213,1000504,1000787,1000504,33213,1000787,33213
37,25779,1000504,33213,52235,33213,1000504,33213,52235,1000504,52235
38,21026,33213,52235,25779,52235,33213,52235,25779,33213,25779
39,31500,52235,25779,21026,25779,52235,25779,21026,52235,21026
40,53730,25779,21026,31500,21026,25779,21026,31500,25779,31500
41,20843,21026,31500,53730,31500,21026,31500,53730,21026,53730
42,1001126,31500,53730,20843,53730,31500,53730,20843,31500,20843
43,1002682,53730,20843,1001126,20843,53730,20843,1001126,53730,1001126
44,28907,20843,1001126,1002682,1001126,20843,1001126,1002682,20843,1002682
45,14943,1001126,1002682,28907,1002682,1001126,1002682,28907,1001126,28907
46,17654,1002682,28907,14943,28907,1002682,28907,14943,1002682,14943
47,28040,28907,14943,17654,14943,28907,14943,17654,28907,17654
48,11219,14943,17654,28040,17654,14943,17654,28040,14943,28040
49,1001359,17654,28040,11219,28040,17654,28040,11219,17654,11219
50,31691,28040,11219,1001359,11219,28040,11219,1001359,28040,1001359
51,10095,11219,1001359,31691,1001359,11219,1001359,31691,11219,31691
52,54948,1001359,31691,10095,31691,1001359,31691,10095,1001359,10095
53,24080,31691,10095,54948,10095,31691,10095,54948,31691,54948
54,22531,10095,54948,24080,54948,10095,54948,24080,10095,24080
55,22042,54948,24080,22531,24080,54948,24080,22531,54948,22531
56,28093,24080,22531,22042,22531,24080,22531,22042,24080,22042
57,52840,22531,22042,28093,22042,22531,22042,28093,22531,28093
58,55412,22042,28093,52840,28093,22042,28093,52840,22042,52840
59,33340,28093,52840,55412,52840,28093,52840,55412,28093,55412
60,1002683,52840,55412,33340,55412,52840,55412,33340,52840,33340
61,1002927,55412,33340,1002683,33340,55412,33340,1002683,55412,1002683
62,12118,33340,1002683,1002927,1002683,33340,1002683,1002927,33340,1002927
63,51056,1002683,1002927,12118,1002927,1002683,1002927,12118,1002683,12118
64,2093,1002927,12118,51056,12118,1002927,12118,51056,1002927,51056
65,55237,12118,51056,2093,51056,12118,51056,2093,12118,2093
66,55790,51056,2093,55237,2093,51056,2093,55237,51056,55237
67,21569,2093,55237,55790,55237,2093,55237,55790,2093,55790
68,22698,55237,55790,21569,55790,55237,55790,21569,55237,21569
69,23451,55790,21569,22698,21569,55790,21569,22698,55790,22698
70,50024,21569,22698,23451,22698,21569,22698,23451,21569,23451
71,1003232,22698,23451,50024,23451,22698,23451,50024,22698,50024
72,6673,23451,50024,1003232,50024,23451,50024,1003232,23451,1003232
73,18963,50024,1003232,6673,1003232,50024,1003232,6673,50024,6673
74,20160,1003232,6673,18963,6673,1003232,6673,18963,1003232,18963
75,1000726,6673,18963,20160,18963,6673,18963,1000726,6673,1000726
76,25225,18963,20160,1000726,20160,18963,1000726,25225,18963,25225
77,54888,1000726,1000726,25225,1000726,1000726,25225,54888,1000726,54888
78,23648,25225,25225,54888,25225,25225,54888,23648,25225,23648
79,13542,54888,54888,23648,54888,54888,23648,13542,54888,13542
80,1000203,23648,23648,13542,23648,23648,13542,1000203,23648,1000203
81,2754,13542,13542,1000203,13542,13542,1000203,2754,13542,2754
82,55104,1000203,1000203,2754,1000203,1000203,2754,55104,1000203,55104
83,1001196,2754,2754,55104,2754,2754,55104,1001196,2754,1001196
84,1001473,55104,55104,1001196,55104,55104,1001196,1001473,55104,1001473
85,18873,1001196,1001196,1001473,1001196,1001196,1001473,1003277,1001196,1003277
86,1003277,1001473,1001473,18873,1001473,1001473,1003277,1000424,1001473,1000424
87,1000424,1003277,18873,1003277,18873,1003277,1000424,25442,1003277,25442
88,25442,1000424,1003277,1000424,1003277,1000424,25442,19835,1000424,19835
89,19835,25442,1000424,25442,1000424,25442,19835,52295,25442,52295
90,52295,19835,25442,19835,25442,19835,52295,52788,19835,52788
91,52788,52295,19835,52295,19835,52295,52788,26806,52295,26806
92,26806,52788,52295,52788,52295,52788,26806,1002849,52788,1002849
93,1002849,26806,52788,26806,52788,26806,1002849,50141,26806,50141
94,50141,1002849,26806,1002849,26806,1002849,50141,1002626,1002849,1002626
95,1002626,50141,1002849,50141,1002849,50141,1002626,54284,50141,54284
96,54284,1002626,50141,1002626,50141,1002626,54284,1003278,1002626,1003278
97,1003278,54284,1002626,54284,1002626,54284,1003278,18665,54284,18665
98,18665,1003278,54284,1003278,54284,1003278,18665,12461,1003278,12461
99,53788,18665,1003278,18665,1003278,18665,22712,22712,18665,22712
100,23424,22712,18665,22712,18665,22712,23424,23424,22712,23424
101,53438,23424,22712,23424,53438,23424,20160,20160,23424,53438
102,1002619,20160,23424,12461,23424,20160,53438,53438,20160,1002619
103,1069,53438,53438,53438,1002619,53438,1002619,1002619,53438,1069
104,31162,1002619,1002619,1002619,1069,1002619,1069,1069,1002619,1000706
105,1000706,1069,1069,1069,31162,1069,1000706,1000706,1069,25103
106,25103,1000706,31162,1000706,1000706,1000706,20472,20472,1000706,20160
