,0,1,2,3,4,5,6,7,8,9
0,1000838,55285,1002411,2494,52553,1001456,54054,1000450,54746,1002703
1,53329,51007,33606,1000445,14199,55143,1002403,50600,52325,33546
2,6613,29833,12419,11243,26996,24108,6820,15760,6482,6517
3,33498,32498,32868,33773,51028,27379,31062,23263,50619,51926
4,22100,11296,21609,27852,28125,12430,26291,18287,26805,26834
5,17540,6748,2926,19651,16019,614,12601,3771,16732,11226
6,2692,16665,27330,6526,376,681,6360,1528,761,3326
7,12449,33631,31513,1001286,1226,29584,33396,2447,29770,1000312
8,1001827,1001020,1001377,2650,1001274,1001066,1001847,1001698,3131,4740
9,1001027,1001763,1001991,25078,1001849,1001841,1000312,28580,1001917,17153
10,1002068,50117,1003189,1000783,53952,55308,54234,54139,1000030,13907
11,52427,50043,51358,34870,1001456,50394,6467,53752,25225,53234
12,23108,14783,2898,20875,15053,19048,16154,30249,6859,22800
13,51491,27197,28119,32006,33789,29222,51034,32966,50788,50701
14,27323,21710,12120,24723,24699,21510,29714,21234,23942,29748
15,13955,3527,3307,17132,13972,11375,10076,4347,11809,18166
16,2477,14149,12225,4251,3657,6932,2416,6504,867,6379
17,439,32525,1428,52516,28889,29688,14740,23254,2447,1001728
18,1001711,1001667,1001290,29323,16100,1001376,1001983,1002061,1001047,28762
19,1001001,1001715,1001691,32869,1001908,1001712,1000431,2234,1001920,23948
20,54562,53658,54858,1000764,50321,1003127,55085,53145,55600,1000291
21,54632,53889,54646,52014,1002503,50557,54737,34696,1002159,54328
22,21097,6906,14779,6996,1192,12652,345,31224,19757,1095
23,32430,33046,24977,32376,31096,32249,51996,25177,31640,52704
24,20673,22068,16054,28159,26928,14699,27321,17708,28315,19926
25,6994,10895,2968,12998,10895,6612,11075,6597,17978,14134
26,6276,14685,4180,2357,4580,224,3763,4501,459,6868
27,17924,17397,2755,1001919,17032,24040,717,21438,17131,1001665
28,1001857,33293,1001007,17250,1000431,52516,1001704,1001929,1001004,29617
29,1000347,1001736,1001924,14311,1001858,1002048,53533,1001263,1001686,24192
30,1002174,1002309,54983,1002324,55049,26102,51335,1001481,34513,53730
31,33036,34665,50302,53849,1002564,34812,1000021,53221,1001358,52259
32,1189,6485,473,11722,12234,28826,16284,12802,21607,6640
33,50258,30259,29764,50354,35478,35275,51685,31311,30039,51028
34,29951,12927,14291,25915,28119,14730,24770,12220,23581,21819
35,10210,283,6552,15613,7013,1268,12827,2873,20015,15370
36,6595,22427,3206,7022,6390,149,4465,2112,3156,6544
37,30951,16981,10816,1001726,10019,27789,23294,28943,14740,1001843
38,1001705,3131,28492,28940,1001020,1001026,1001669,1001934,18113,23363
39,1001067,1001686,1001727,11632,1001843,1002401,1001288,21580,1001720,29622
40,1002907,54162,1002106,1001955,54570,1003233,52489,1002850,51881,1001976
41,51958,54053,52240,52752,1002508,53512,51937,53219,1003253,53005
42,29438,17098,12786,20772,16430,19557,4335,19148,12908,10692
43,51266,33875,28813,33374,34144,24811,31908,32036,30625,30777
44,20257,15793,19777,21382,19834,20297,24749,12711,24345,19847
45,16033,1469,115,10661,15044,6895,18422,4391,14216,19434
46,842,19373,29951,563,6333,2946,383,2325,6591,6635
47,17064,24192,24192,1001374,12800,23368,31963,32052,22963,1001668
48,1001858,1001000,1001334,23363,1001026,1001282,1001687,1001691,1001012,2400
49,1001007,1001702,1001920,17025,1001927,1001859,1001024,54112,1001763,32070
50,1001634,1002111,54743,1002968,52433,1001185,52426,52758,50864,1000296
51,51298,50532,54864,28176,52642,54143,1002908,53657,1001325,31355
