,0,1,2,3,4,5,6,7,8,9
0,63774,8529,26347,45609,23661,45609,48390,41046,207002,36926
1,196621,60288,59125,51630,206637,18403,22458,53184,327859,18420
2,9268,5378,33894,213279,49784,39405,2860,18106,812,199588
3,15372,15994,62371,39020,8661,25091,12083,41589,12374,5410
4,198095,207439,47286,12722,21079,14773,204564,62098,203474,1213
5,8492,62432,202077,41153,206268,33923,9135,197207,13055,200030
6,42346,201588,21034,57469,1221,264811,201588,12923,208627,48804
7,30781,16881,20001,44141,29226,33984,25472,61468,58431,8271
8,15556,21131,199165,5432,20626,199339,8708,50585,31317,197301
9,8560,24603,9158,28785,8767,3320,39257,1759,43942,44712
10,44297,132796,207910,199283,59554,49855,37236,208448,15011,43915
11,133658,210025,36817,12556,27947,208149,6772,7514,327900,32899
12,8400,12400,39555,8779,43142,8308,39029,34971,23951,10094
13,47227,11478,20612,29305,44431,27901,28728,39405,34612,559
14,53006,36352,56166,44381,199937,60016,208927,20971,12764,140443
15,44158,42401,203478,12252,43910,57219,47295,4788,42708,51346
16,201091,8395,199150,42490,197712,1307,200801,48446,25255,49163
17,20115,9500,11193,45170,56647,49808,7018,208520,17054,35320
18,25255,48670,49779,206845,35368,35833,42473,57675,60664,31461
19,206845,50448,31514,16668,35574,28725,47678,59494,8473,8839
20,27828,17506,12488,134877,42003,30633,46303,25145,133189,47251
21,29222,43888,18534,44297,29286,5397,9506,28073,11097,10838
22,39837,3352,50858,50710,8426,44788,15693,48971,29056,60426
23,45050,24691,42765,60304,22047,12576,49889,21263,206291,15605
24,197572,197650,198095,25408,203556,62094,41303,16205,207825,24776
25,21176,205697,3246,35348,39673,34958,204467,13285,50247,49478
26,33983,47447,43655,8262,57695,30999,57254,200924,36692,29140
27,11488,15879,395075,15826,49037,21476,10075,204708,19397,39647
28,31257,44507,3221,31214,12392,56649,44531,34373,29504,41723
29,8473,12389,9198,24679,13188,1547,199128,12874,207306,51184
30,10013,5576,205544,12684,199064,201220,399748,210,205588,62184
31,17884,45090,18121,42120,52341,41653,12119,31922,327687,5739
32,5617,201366,12775,34605,50999,13037,60316,7727,51561,12083
