,bias,links,comms
8220,-0.1920854670914185,,
9002,-0.1903978446624155,2.0,0.0
33891,-0.18982911016049986,,
49544,-0.18972240578878363,,
37662,-0.1860714227632898,,
41327,-0.18424082941159714,88.0,11982.0
21320,-0.1841284182468983,,
2603,-0.1834171344166191,,
16637,-0.1833904747263193,,
37100,-0.17938258778750216,,
31027,-0.17912487767774987,1150.0,19911.0
5400,-0.17814586247704156,,
37271,-0.177351962181449,150.0,18264.0
3303,-0.17699502429908698,,
199524,-0.1758300130954682,5636.0,0.0
6667,-0.17490294894533243,452.0,10389.0
25091,-0.17428448994153412,321.0,26556.0
8400,-0.1741074305581014,,
3399,-0.17285632778198945,163.0,17728.0
47147,-0.17259958636623995,746.0,17338.0
21385,-0.1723536808636239,,
37468,-0.17171891275191697,764.0,20144.0
29075,-0.17098781694245835,441.0,22146.0
30844,-0.16977741568308113,,
50673,-0.1690947942740051,819.0,13716.0
20940,-0.16900752764831273,,
41095,-0.1689451603347436,274.0,0.0
3327,-0.16855164401312628,,
559,-0.16855161856015322,,
42473,-0.16852723998406205,3523.0,23453.0
6774,-0.16850085532393866,,
34927,-0.16710340867801543,1010.0,7547.0
8708,-0.1667614575209586,,
8560,-0.16571182414873986,,
28917,-0.16522340672636693,1090.0,1703.0
13237,-0.16504906748526782,1886.0,5541.0
31133,-0.1650136996777074,,
12779,-0.16489321076987862,730.0,37.0
8218,-0.1647388598210009,152.0,16.0
680,-0.16451918484629013,252.0,0.0
15695,-0.1636484453293674,,
6908,-0.163107748727509,54.0,10541.0
60171,-0.16302556178103833,,
8455,-0.1620718524079634,221.0,1.0
8447,-0.16125126632834386,,
15600,-0.16101048407034524,,
35598,-0.1599610651885408,,
24875,-0.15971027627701417,,
39351,-0.15905361744729118,205.0,18467.0
31122,-0.15900872857934623,,
42861,-0.1586430472237943,,
24961,-0.15825717860790123,310.0,21894.0
3292,-0.1582091419263909,,
8359,-0.15809328115322652,,
58299,-0.1579696759134941,203.0,10755.0
50300,-0.15752506549122636,1052.0,0.0
31042,-0.15729931884225223,,
29467,-0.15548924284908283,1387.0,5818.0
12713,-0.1553146776580583,,
49434,-0.155151883354665,424.0,3141.0
2854,-0.15494375568708696,,
8966,-0.15455560712490657,,
16347,-0.1542295825387896,1339.0,0.0
58057,-0.15417339916004025,1538.0,31060.0
20764,-0.153800623933098,427.0,21400.0
34854,-0.15332420343363573,1178.0,11129.0
20811,-0.1531300624800669,1492.0,0.0
8896,-0.15298736579260064,138.0,0.0
34549,-0.1527715334989077,133.0,23468.0
47692,-0.15258335937596845,965.0,27065.0
25160,-0.15212493081534495,1528.0,23820.0
37497,-0.15139267358547093,3117.0,0.0
8422,-0.15064377533542395,,
16086,-0.15046930943977133,,
39912,-0.1494540442994685,,
21013,-0.14930031783670916,,
1836,-0.14923643826882937,,
35266,-0.14873765260359217,606.0,14459.0
9063,-0.14836056135684172,,
8283,-0.14730293405463835,1088.0,20452.0
553,-0.1460498443157099,849.0,0.0
29550,-0.14572277651421217,,
1103,-0.14481911542902903,879.0,18850.0
