ASN,Location bias,Network size bias,Topology bias,IXP related bias,Network type bias,RIR region,Customer cone (#ASNs),Customer cone (#prefixes),Location (country),#neighbors (total),Scope (PeeringDB),Network type (PeeringDB),Peering policy (PeeringDB),#IXPs (PeeringDB),#facilities (PeeringDB),is_in_peeringDB,is_ris_peer_v4,is_ris_peer_v6,is_routeviews_peer
1,-0.13,0.02,0.08,0.0,-0.01,ARIN,5.0,143.0,US,17.0,,,,,,0.0,,,
2,-0.13,0.06,0.04,0.0,-0.01,ARIN,9.0,458.0,US,23.0,,,,,,0.0,,,
5,-0.13,-0.18,-0.03,0.0,-0.01,ARIN,2.0,3.0,US,5.0,,,,,,0.0,,,
6,-0.13,0.01,-0.03,-0.19,-0.28,ARIN,1.0,32.0,US,4.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
7,0.05,0.01,-0.12,-0.19,-0.28,RIPE,1.0,17.0,EU,2.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
8,-0.13,0.06,-0.01,-0.19,-0.28,ARIN,3.0,54.0,US,6.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
9,-0.13,0.05,0.01,-0.19,-0.28,ARIN,3.0,62.0,US,11.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
10,-0.13,-0.05,0.0,0.0,-0.01,ARIN,2.0,7.0,US,6.0,,,,,,0.0,,,
131074,-0.03,-0.12,-0.07,0.0,-0.01,APNIC,2.0,1.0,AU,2.0,,,,,,0.0,,,
12,-0.13,0.05,0.0,0.0,-0.01,ARIN,3.0,19.0,US,7.0,,,,,,0.0,,,
131079,-0.03,-0.18,-0.04,0.2,0.05,APNIC,1.0,1.0,JP,3.0,Regional,NSP,Restrictive,3.0,0.0,1.0,,,
14,-0.13,-0.01,-0.03,-0.19,-0.28,ARIN,1.0,11.0,US,3.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
262150,-0.25,0.05,-0.03,0.1,-0.14,LACNIC,14.0,100.0,AR,15.0,South America,Cable/DSL/ISP,Selective,1.0,0.0,1.0,,,
18,-0.13,-0.0,-0.09,0.0,-0.01,ARIN,1.0,8.0,US,3.0,,,,,,0.0,,,
19,-0.13,0.01,-0.03,-0.19,-0.28,ARIN,1.0,15.0,US,3.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
20,-0.13,-0.01,0.0,-0.19,-0.28,ARIN,2.0,5.0,US,7.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
21,-0.13,-0.05,0.0,-0.12,-0.28,ARIN,1.0,12.0,US,6.0,Not Disclosed,Not Disclosed,,0.0,0.0,1.0,,,
131089,-0.07,-0.18,-0.07,0.0,-0.01,APNIC,1.0,1.0,TH,1.0,,,,,,0.0,,,
24,-0.13,-0.01,-0.04,0.0,-0.01,ARIN,2.0,4.0,US,8.0,,,,,,0.0,,,
131091,-0.06,-0.05,0.03,0.1,0.07,APNIC,2.0,13.0,HK,18.0,Asia Pacific,NSP,Selective,1.0,0.0,1.0,,,
26,-0.13,-0.01,-0.03,0.19,-0.07,ARIN,1.0,6.0,US,4.0,Regional,Educational/Research,Selective,0.0,3.0,1.0,,,
131093,-0.16,-0.14,-0.12,0.0,-0.01,APNIC,1.0,3.0,KR,2.0,,,,,,0.0,,,
131094,-0.16,-0.05,-0.03,0.0,-0.01,APNIC,1.0,4.0,KR,3.0,,,,,,0.0,,,
29,-0.13,-0.01,-0.01,0.0,-0.01,ARIN,1.0,5.0,US,5.0,,,,,,0.0,,,
131095,-0.16,-0.09,-0.12,0.0,-0.01,APNIC,1.0,3.0,KR,2.0,,,,,,0.0,,,
31,-0.13,-0.01,-0.03,0.0,-0.01,ARIN,1.0,9.0,US,4.0,,,,,,0.0,,,
33,-0.13,0.05,-0.04,-0.19,-0.28,ARIN,3.0,41.0,US,3.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
34,-0.13,-0.01,-0.03,0.0,-0.01,ARIN,2.0,10.0,US,5.0,,,,,,0.0,,,
